"FORMULARIO";"C_001_01";"C_001_02";"C_001_03";"C_001_04";"C_001_05";"C_001_06";"C_001_07";"C_001_08";"C_001_09";"C_001_10";"C_001_11";"C_001_12";"C_001_13";"C_001_77";"C_001_77_A";"C_001_77_B";"C_001_77_C";"C_001_PLACA";"C_001_88";"F_EXP"
"0531";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;19,61
"0533";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;118,49
"0535";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;8,76
"0536";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;25,50
"0537";0;0;0;1;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;14,06
"0538";1;1;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";2;0;108,30
"0539";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;122,07
"0540";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;10,52
"0541";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;13,21
"0542";0;0;0;1;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;45,61
"0543";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;45,61
"0545";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;13,21
"0546";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;39,02
"0547";0;0;0;0;0;0;0;0;0;0;2;1;0;0;"0";"0";"0";0;0;15,54
"0549";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;22,20
"0551";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;42,56
"0553";0;0;0;0;0;0;1;0;0;0;0;0;0;0;"0";"0";"0";1;0;11,85
"0554";0;1;0;1;0;0;0;0;0;0;0;1;0;;;;;2;0;52,07
"0555";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;16,97
"0556";0;0;0;1;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;6,02
"0557";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;285,42
"0559";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;6,77
"0560";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;49,88
"0561";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;13,03
"0562";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;10,66
"0563";0;0;0;1;0;0;0;0;0;0;0;1;0;0;"0";"0";"0";1;0;130,93
"0564";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;144,80
"0565";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;5,43
"0566";0;0;0;0;0;0;0;0;0;0;1;1;0;0;"0";"0";"0";0;0;11,17
"0567";1;0;1;0;2;0;0;0;0;0;1;1;0;0;"0";"0";"0";4;0;137,86
"0568";0;0;0;1;0;0;0;0;0;0;0;0;0;0;"00";"0";"0";1;0;7,24
"0569";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;7,16
"0570";0;0;0;2;0;0;0;0;0;0;0;0;0;;;;;2;0;137,86
"0572";0;0;0;2;0;0;0;0;0;0;0;0;0;;;;;2;0;5,52
"0573";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;5,52
"0574";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;37,41
"0575";0;0;0;2;0;0;0;0;0;0;0;2;0;0;"0";"0";"0";2;0;7,24
"0577";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;52,31
"0581";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;47,32
"0582";0;0;0;1;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;10,06
"0583";0;0;0;1;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;9,92
"0584";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;21,42
"0586";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;27,12
"0587";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;20,49
"0588";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;126,92
"0589";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;89,23
"0590";0;0;0;0;0;0;0;0;0;0;0;1;0;0;"0";"0";"00";0;0;29,19
"0591";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;21,89
"0592";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;28,65
"0593";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;54,91
"0595";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;188,18
"0597";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"00";"0";"0";1;0;28,98
"0598";0;2;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";2;0;29,32
"0599";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;316,05
"0603";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;30,32
"0604";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;16,42
"0605";2;3;0;0;0;0;0;0;0;0;0;4;0;;;;;5;0;9,21
"0606";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;16,42
"0607";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;16,42
"0608";0;2;0;0;0;0;0;0;0;0;0;0;0;;;;;2;0;17,31
"0609";2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;2;0;7,02
"0610";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;7,15
"0612";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;19,10
"0615";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;28,98
"0616";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;11,82
"0617";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;41,18
"0618";1;0;0;1;0;0;0;0;0;0;0;0;0;;;;;2;0;27,06
"0619";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;25,97
"0620";1;0;0;1;0;0;0;0;0;0;0;0;0;;;;;2;0;41,18
"0621";0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;0;0;6,21
"0624";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;16,95
"0625";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;7,67
"0626";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;7,67
"0627";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;20,52
"0628";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;22,75
"0630";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;12,52
"0631";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;10,83
"0632";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;65,91
"0633";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;65,91
"0634";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;65,91
"0636";2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;2;0;29,84
"0637";0;1;0;1;0;0;0;0;0;0;1;0;0;;;;;2;0;51,95
"0638";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;65,91
"0639";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;12,12
"0640";1;1;0;0;0;0;0;0;0;0;0;0;0;;;;;2;0;27,74
"0645";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;69,08
"0646";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;84,48
"0648";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;111,00
"0649";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;71,28
"0650";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;13,02
"0656";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;45,49
"0657";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;16,03
"0658";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;66,46
"0659";1;0;0;1;0;0;0;0;0;0;0;0;0;;;;;2;0;240,55
"0661";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;80,29
"0662";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;53,85
"0664";0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;0;0;17,18
"0665";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;92,82
"0667";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;8,27
"0671";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;49,60
"0672";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;41,70
"0674";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;107,44
"0676";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;72,20
"0677";0;0;0;2;0;0;0;0;0;0;0;2;0;;;;;2;0;59,27
"0679";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;45,22
"0680";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;73,33
"0683";1;1;0;0;0;0;0;0;0;0;0;0;0;;;;;2;0;44,38
"0685";1;0;0;0;0;0;0;0;0;0;0;3;0;;;;;1;0;33,76
"0688";0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;29,34
"0689";1;0;0;1;0;0;0;0;0;0;0;0;0;;;;;2;0;35,46
"0690";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;26,64
"0691";0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;25,60
"0692";1;0;0;0;0;0;0;0;0;0;1;0;0;;;;;1;0;29,34
"0694";1;1;0;0;0;0;0;0;0;0;0;0;0;;;;;2;0;28,71
"0695";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;47,96
"0696";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;47,96
"0697";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;13,41
"0699";0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;35,46
"0700";0;0;0;2;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";2;0;25,47
"0701";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;29,84
"0702";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;20,45
"0703";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;64,03
"0704";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;12,29
"0705";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;19,81
"0706";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;2,30
"0707";0;1;0;1;0;0;0;0;0;0;1;1;0;0;"0";"0";"0";2;0;64,03
"0709";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;8,76
"0711";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"00";0;0;11,04
"0712";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;9,09
"0713";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;10,06
"0714";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;8,21
"0715";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"00";"0";0;0;14,06
"0716";1;0;0;0;0;0;0;0;0;0;1;0;0;0;"0";"0";"0";1;0;11,30
"0717";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;12,29
"0718";1;0;0;1;0;0;0;0;0;0;0;2;0;0;"0";"0";"0";2;0;9,38
"0719";0;0;0;0;0;0;0;0;0;0;0;1;0;0;"0";"0";"0";0;0;14,73
"0720";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;8,29
"0721";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;16,44
"0723";2;0;0;0;0;0;0;0;0;0;0;7;0;;;;;2;0;8,29
"0724";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"00";"0";1;0;8,46
"0725";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;8,13
"0726";1;0;0;0;0;0;0;0;0;0;1;1;0;0;"0";"0";"0";1;0;17,24
"0727";0;0;0;3;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";3;0;94,44
"0728";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;15,91
"0729";1;0;0;1;0;0;0;0;0;0;0;0;0;0;"0";"00";"0";2;0;42,88
"0730";0;0;0;1;0;0;0;0;0;0;0;0;0;0;"0";"00";"0";1;0;55,12
"0731";0;0;0;0;0;0;0;0;1;0;0;1;0;0;"0";"0";"0";1;0;24,75
"0732";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;83,33
"0734";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;9,70
"0735";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;28,37
"0736";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;13,52
"0737";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"00";0;0;21,98
"0738";0;0;0;0;0;0;0;0;0;0;3;0;0;0;"0";"0";"00";0;0;39,79
"0739";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;15,00
"0741";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;17,22
"0746";0;0;0;1;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;40,85
"0747";1;0;0;1;0;0;0;0;0;0;0;0;0;0;"0";"0";"00";2;0;40,62
"0748";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;37,37
"0749";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;46,57
"0750";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"00";"0";"0";1;0;28,60
"0751";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;41,27
"0752";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"00";"0";"0";1;0;45,72
"0753";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;5,34
"0754";1;0;0;0;0;0;0;0;0;0;0;2;0;;;;;1;0;39,67
"0755";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;26,69
"0757";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"00";"0";"0";1;0;34,76
"0758";0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;29,74
"0759";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;29,74
"0760";0;0;0;0;0;0;0;0;0;0;0;5;0;;;;;0;0;23,02
"0761";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;23,50
"0762";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;26,75
"0764";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;6,21
"0766";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;59,40
"0767";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;13,00
"0769";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;30,94
"0773";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;31,21
"0774";1;0;0;1;0;0;0;0;0;0;0;0;0;;;;;2;0;140,01
"0776";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;65,23
"0778";2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;2;0;100,28
"0779";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;119,52
"0780";1;0;0;0;0;0;0;0;0;0;0;3;0;;;;;1;0;99,39
"0782";1;0;0;0;0;0;0;0;0;0;0;2;0;;;;;1;0;60,89
"0783";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;88,38
"0786";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;51,23
"0787";0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;0;0;29,00
"0788";1;0;0;1;0;0;0;0;0;0;0;0;0;;;;;2;0;30,56
"0789";0;0;0;1;0;0;0;0;0;0;0;0;0;0;"00";"0";"0";1;0;5,40
"0790";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"00";"0";"0";1;0;18,82
"0792";0;0;0;1;0;0;0;0;0;0;0;1;0;;;;;1;0;5,40
"0793";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;24,46
"0794";0;0;0;1;0;0;0;0;0;0;1;0;0;0;"0";"0";"0";1;0;30,94
"0796";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;28,18
"0798";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;1;36,29
"0800";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;5,52
"0803";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;23,02
"0806";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;21,61
"0807";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;27,92
"0808";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;27,45
"0809";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;21,31
"0810";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;21,31
"0811";0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;0;0;38,68
"0813";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;27,87
"0814";1;0;0;0;0;0;0;0;0;0;1;1;0;;;;;1;0;16,07
"0815";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;15,75
"0816";1;0;0;1;0;0;0;0;0;0;0;0;0;;;;;2;0;26,79
"0819";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;26,79
"0820";0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;15,81
"0821";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;44,18
"0822";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;15,49
"0823";0;1;0;0;0;0;0;0;0;0;0;1;0;;;;;1;0;43,14
"0824";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;9,98
"0826";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;5,42
"0827";0;0;0;1;0;0;0;0;0;0;0;2;0;;;;;1;0;5,35
"0828";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;8,82
"0829";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;371,48
"0830";1;0;0;1;0;0;0;0;0;0;0;1;0;;;;;2;0;9,01
"0831";0;0;0;1;0;0;0;0;0;0;0;1;0;;;;;1;0;5,35
"0833";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;34,48
"0834";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;8,82
"0836";1;1;0;0;0;0;0;0;0;0;0;0;0;;;;;2;0;9,01
"0837";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;9,01
"0839";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;30,63
"0840";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;20,27
"0841";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;33,08
"0843";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;61,38
"0844";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;250,41
"0847";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;147,51
"0848";1;0;0;1;0;0;0;0;0;0;0;0;0;;;;;2;0;61,38
"0849";3;0;0;0;0;0;0;0;0;0;0;0;0;;;;;3;0;23,48
"0850";0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;11,30
"0852";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;10,24
"0853";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;7,80
"0854";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;24,10
"0857";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;38,36
"0858";1;0;0;1;0;0;0;0;0;0;0;0;0;;;;;2;0;100,75
"0859";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;33,33
"0860";0;1;0;1;0;0;0;0;0;0;0;0;0;;;;;2;0;30,33
"0861";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;18,46
"0862";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;26,35
"0864";1;0;0;1;0;0;0;0;0;0;0;0;0;;;;;2;0;25,39
"0866";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;12,89
"0869";1;0;0;1;0;0;0;0;0;0;0;0;0;;;;;2;0;19,47
"0870";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;46,28
"0871";1;0;0;1;0;0;0;0;0;0;0;0;0;;;;;2;0;49,21
"0872";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;19,92
"0874";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;19,47
"0875";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;7,05
"0876";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;37,77
"0877";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;19,92
"0878";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;9,28
"0880";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;6,18
"0881";1;0;0;0;0;0;0;0;0;0;0;2;0;;;;;1;0;29,80
"0882";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;29,65
"0885";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;7,36
"0887";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;14,06
"0888";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;10,83
"0889";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;6,40
"0890";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;10,83
"0891";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;24,41
"0892";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;24,48
"0893";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;14,06
"0894";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;29,57
"0895";0;0;0;1;0;0;0;0;0;0;0;1;0;;;;;1;0;13,78
"0897";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;24,94
"0898";1;0;0;1;0;0;0;0;0;0;1;4;0;;;;;2;0;27,15
"0901";1;1;0;0;0;0;0;0;0;0;1;2;0;;;;;2;0;19,11
"0903";0;0;0;0;0;0;0;0;0;0;0;1;0;0;"0";"0";"0";0;0;146,25
"0905";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"00";"0";1;0;31,33
"0907";1;0;0;0;0;0;0;0;0;0;0;2;0;0;"00";"0";"0";1;0;59,88
"0908";1;0;0;0;0;0;0;0;0;0;2;0;0;0;"0";"0";"0";1;0;35,75
"0909";1;0;0;1;0;1;0;0;0;0;0;3;0;0;"0";"0";"0";3;0;26,02
"0910";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"00";"0";"0";1;0;29,89
"0912";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;28,98
"0913";2;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";2;0;53,86
"0914";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;46,42
"0916";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"00";0;0;60,41
"0917";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"00";"0";0;0;27,65
"0918";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;323,66
"0920";2;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";2;0;14,84
"0923";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;8,01
"0926";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;10,71
"0927";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;10,50
"0928";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;12,59
"0929";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;5,34
"0930";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;159,84
"0931";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;25,30
"0933";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;26,64
"0935";1;0;0;0;0;0;0;0;0;0;1;0;0;;;;;1;0;18,21
"0936";1;0;0;0;0;0;0;0;0;0;1;0;0;;;;;1;0;70,63
"0937";1;0;0;0;0;0;0;0;0;0;1;0;0;;;;;1;0;28,70
"0938";2;0;0;0;0;0;0;0;0;0;1;0;0;;;;;2;0;24,11
"0939";0;0;0;1;1;0;0;0;0;0;0;0;0;;;;;2;0;8,04
"0940";0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;0;0;14,62
"0943";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;13,11
"0944";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;4,61
"0947";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;14,44
"0948";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;29,77
"0949";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;10,50
"0950";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;5,02
"0951";2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;2;0;108,30
"0958";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;38,68
"0960";0;0;0;1;0;0;0;0;0;0;0;1;0;0;"0";"0";"0";1;0;28,05
"0961";0;0;0;0;0;0;0;0;0;0;0;1;0;0;"0";"0";"0";0;0;35,47
"0962";1;0;0;0;0;0;0;0;0;0;2;0;0;;;;;1;0;8,83
"0963";1;0;0;0;0;0;0;0;0;0;1;0;0;;;;;1;0;8,83
"0964";1;0;0;0;0;0;0;0;0;0;0;1;0;;;;;1;0;8,84
"0966";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;8,85
"0967";0;0;0;1;0;0;0;0;0;0;1;0;0;0;"0";"0";"0";1;0;47,91
"0969";0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;1;0;29,74
"0970";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;26,69
"0971";2;0;0;0;0;0;0;0;0;0;2;0;0;;;;;2;0;22,23
"0973";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;29,90
