"FORMULARIO";"C_001_01";"C_001_02";"C_001_03";"C_001_04";"C_001_05";"C_001_06";"C_001_07";"C_001_08";"C_001_09";"C_001_10";"C_001_11";"C_001_12";"C_001_13";"C_001_77";"C_001_77_A";"C_001_77_B";"C_001_77_C";"C_001_PLACA";"C_001_88";"F_EXP"
"0132";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;35,49
"0133";0;;;;;;;;;;;;;;;;;0;0;51,88
"0135";0;;;;;;;;;;;;;;;;;0;0;103,34
"0136";0;;;;;;;;;;;;;;;;;0;0;12,25
"0137";0;;;;;;;;;;;;;;;;;0;0;255,18
"0138";0;;;;;;;;;;;;;;;;;0;0;24,06
"0139";0;;;;;;;;;;;;;;;;;0;0;79,87
"0140";;;;;;;;;;;;;;;;;;0;0;12,25
"0141";0;0;0;1;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;251,10
"0143";1;;;1;;;;;;;;;;;;;;2;0;45,21
"0144";;;;;;;;;;;;;;;;;;0;0;14,82
"0145";;;;1;;;;;;;;;;;;;;1;0;41,48
"0147";;;;;;;;;;;;2;;;;;;0;0;94,06
"0148";;;;;;;;;;;;;;;;;;0;0;85,83
"0149";1;;;;;;;;;;;;;;;;;1;0;172,84
"0150";0;;;;;;;;;;;;;;;;;0;0;289,99
"0153";;;;;;;;;;;;1;;;;;;0;0;135,78
"0155";;;;1;;;;;;;;1;;;;;;1;0;66,17
"0159";;;;;;;;;;;;;;;;;;0;0;131,61
"0160";;;;1;;;;;;;;;;;;;;1;0;66,17
"0161";;;;;;;;;;;;;;;;;;0;0;46,60
"0162";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;79,93
"0163";;;;1;;;;;;;2;2;;;;;;1;0;434,34
"0164";;;;;;;;;;;1;;;;;;;0;0;64,52
"0165";;;;;;;;;;;;2;;;;;;0;0;97,91
"0166";;;;;;;;;;;1;;;;;;;0;0;65,94
"0168";;;;;;;;;;;;;;;;;;0;0;77,35
"0169";;;;;;;;;;1;;;;;;;;0;0;64,81
"0172";;;;1;;;;;;;;1;;;;;;1;0;145,79
"0174";;;;;;;;;;;;;;;;;;0;0;109,11
"0175";;;;;;;;;;;;;;;;;;0;0;44,75
"0178";;;;1;;;;;;;1;2;;;;;;1;0;53,93
"0179";;;;;;;;;;;;;;;;;;0;0;154,76
"0181";1;;;;;;;;;;;;;;;;;1;0;115,62
"0182";;;;1;;;;;;;;;;;;;;1;0;130,73
"0183";;;;;;;;;;;;3;;;;;;0;0;89,92
"0184";;;;;;;;;;;;;;;;;;0;0;14,52
"0185";;;;;;;;;;;;;;;;;;0;0;172,57
"0186";;;;;;1;;;;;;;;;;;;1;0;158,21
"0187";;;;;;;;;;;;;;;;;;0;0;62,57
"0189";;;;1;;;;;;;;;;;;;;1;0;58,37
"0190";1;;;1;;;;;;;;;;;;;;2;0;323,65
"0191";;;;;;;;;;;;;;;;;;0;0;81,09
