FORMULARIO;ID_000;ID_003;ID_004;ID_005;ID_006;ID_008_HH;ID_008_MM;ID_008_A;A_003;A_004;A_005;A_006;A_007;A_008;Municipio;Comuna;Estrato;F_EXP
32;9147;25;2;01-04-0622;4/5/2017 0:00:00;4;20;p. m.;1;1;5;1;5;5;Pereira;Centro;5;158,07
33;9147;22;4;01-04-0601;6/5/2017 0:00:00;10;45;a. m.;1;1;4;1;2;2;Pereira;Centro;4;19,31
35;9147;62;1;01-08-1262;10/5/2017 0:00:00;3;10;p. m.;1;3;3;1;3;3;Pereira;Oriente;3;9,77
36;9147;22;4;01-04-0601;6/5/2017 0:00:00;11;22;a. m.;1;3;4;1;2;2;Pereira;Centro;4;149,23
38;9147;60;2;01-08-1618;9/5/2017 0:00:00;4;49;p. m.;1;1;3;1;7;7;Pereira;Oriente;3;38,88
39;9147;60;1;01-08-1620;4/5/2017 0:00:00;3;52;p. m.;1;3;3;1;2;2;Pereira;Oriente;3;238,83
40;9147;60;2;01-08-1618;10/5/2017 0:00:00;4;20;p. m.;1;1;3;1;1;1;Pereira;Oriente;3;32,48
41;9147;3;1;01-02-3476;3/5/2017 0:00:00;5;0;p. m.;2;3;2;1;1;1;Pereira;Rio Otun;2;51,97
42;9147;3;2;01-02-3544;3/5/2017 0:00:00;6;30;p. m.;1;3;2;1;3;3;Pereira;Rio Otun;2;16,59
43;2443;2;3;01-02-3488;4/5/2017 0:00:00;4;38;p. m.;1;3;2;1;4;4;Pereira;Rio Otun;2;71,65
46;9147;2;1;01-02-3406;6/5/2017 0:00:00;11;40;a. m.;1;3;2;1;3;3;Pereira;Rio Otun;2;174,87
47;9147;3;2;01-02-3544;4/5/2017 0:00:00;5;45;p. m.;1;3;2;1;2;2;Pereira;Rio Otun;2;17,22
48;2443;3;3;01-02-3482;4/5/2017 0:00:00;3;35;p. m.;1;1;2;1;3;3;Pereira;Rio Otun;2;58,71
49;9147;2;2;01-02-3486;4/5/2017 0:00:00;4;35;p. m.;1;3;2;1;6;6;Pereira;Rio Otun;2;24,06
51;9147;2;2;01-02-3486;4/5/2017 0:00:00;4;40;p. m.;1;1;2;1;2;2;Pereira;Rio Otun;2;29,76
53;9147;3;3;01-02-3482;5/5/2017 0:00:00;3;0;p. m.;1;4;2;1;3;3;Pereira;Rio Otun;2;58,71
54;9147;3;1;01-02-3476;4/5/2017 0:00:00;4;0;p. m.;1;1;2;1;1;1;Pereira;Rio Otun;2;51,97
55;9147;3;2;01-02-3544;5/5/2017 0:00:00;4;50;p. m.;1;1;2;1;2;2;Pereira;Rio Otun;2;17,22
56;9147;3;3;01-02-3482;5/5/2017 0:00:00;3;50;p. m.;1;1;2;1;2;2;Pereira;Rio Otun;2;62,68
57;9147;3;1;01-02-3476;5/5/2017 0:00:00;4;50;p. m.;2;3;2;1;2;2;Pereira;Rio Otun;2;49,11
58;9147;2;4;01-02-3409;6/5/2017 0:00:00;2;10;p. m.;1;1;2;1;4;4;Pereira;Rio Otun;2;33,13
59;2443;2;1;01-02-3406;6/5/2017 0:00:00;12;0;p. m.;1;3;2;1;5;4;Pereira;Rio Otun;2;143,18
60;9147;2;5;01-02-3569;6/5/2017 0:00:00;2;15;p. m.;1;1;2;1;3;3;Pereira;Rio Otun;2;25,18
61;9147;28;1;01-04-0768;5/5/2017 0:00:00;4;0;p. m.;1;3;3;1;5;5;Pereira;Centro;3;308,09
62;9147;28;3;01-04-3322;6/5/2017 0:00:00;9;50;a. m.;1;3;3;1;1;1;Pereira;Centro;3;66,48
63;9147;28;3;01-04-3322;6/5/2017 0:00:00;9;30;a. m.;1;3;3;1;4;4;Pereira;Centro;3;300,52
65;2443;111;2;01-06-1680;7/6/2017 0:00:00;4;20;p. m.;1;1;6;1;4;4;Pereira;El Jardin;6;247,16
67;9147;28;4;01-04-3250;6/5/2017 0:00:00;11;7;a. m.;1;3;3;1;4;4;Pereira;Centro;3;70,56
68;2443;28;3;01-04-3322;6/5/2017 0:00:00;4;0;p. m.;2;3;3;1;3;3;Pereira;Centro;3;255,18
69;9147;28;4;01-04-3250;6/5/2017 0:00:00;10;44;a. m.;1;1;3;1;4;4;Pereira;Centro;3;70,56
70;9147;8;1;01-02-3228;9/5/2017 0:00:00;3;43;p. m.;1;1;2;1;3;3;Pereira;Rio Otun;2;28,33
71;9147;23;3;01-04-0734;3/5/2017 0:00:00;5;30;p. m.;2;1;3;1;3;3;Pereira;Centro;3;86,69
73;9147;23;4;01-04-0786;4/5/2017 0:00:00;3;0;p. m.;1;1;3;1;2;2;Pereira;Centro;3;16,16
74;2443;23;3;01-04-0734;3/5/2017 0:00:00;5;0;p. m.;1;3;3;2;5;4;Pereira;Centro;3;111,29
75;9147;23;4;01-04-0786;4/5/2017 0:00:00;3;35;p. m.;1;1;3;1;3;3;Pereira;Centro;3;17,50
76;9147;23;5;01-04-0789;4/5/2017 0:00:00;4;20;p. m.;1;1;3;1;2;2;Pereira;Centro;3;114,22
79;9147;28;1;01-04-0768;5/5/2017 0:00:00;4;0;p. m.;1;1;3;1;2;2;Pereira;Centro;3;188,52
80;9147;8;1;01-02-3228;9/5/2017 0:00:00;4;0;p. m.;1;1;2;1;2;2;Pereira;Rio Otun;2;29,76
83;9147;21;1;01-04-0615;3/5/2017 0:00:00;5;30;p. m.;1;1;4;1;3;3;Pereira;Centro;4;230,23
84;9147;21;4;01-04-0617;4/5/2017 0:00:00;3;35;p. m.;1;3;4;1;2;2;Pereira;Centro;4;26,20
85;9147;21;5;01-04-0614;4/5/2017 0:00:00;5;0;p. m.;1;3;4;1;4;3;Pereira;Centro;4;90,74
86;9147;21;5;01-04-0614;4/5/2017 0:00:00;5;33;p. m.;1;3;4;4;1;1;Pereira;Centro;4;145,31
88;9147;27;5;01-04-0850;6/5/2017 0:00:00;11;22;a. m.;2;1;5;1;4;4;Pereira;Centro;5;151,07
89;9147;27;4;01-04-0803;6/5/2017 0:00:00;12;25;p. m.;2;1;5;1;3;3;Pereira;Centro;5;452,67
90;9147;63;1;01-08-0183;10/5/2017 0:00:00;10;20;a. m.;1;1;2;1;3;3;Pereira;Oriente;2;77,01
91;9147;21;1;01-04-0615;3/5/2017 0:00:00;4;10;p. m.;1;1;4;1;1;1;Pereira;Centro;4;104,20
92;9147;21;2;01-04-0620;3/5/2017 0:00:00;5;40;p. m.;1;1;4;1;5;5;Pereira;Centro;4;83,27
94;9147;21;4;01-04-0617;4/5/2017 0:00:00;3;48;p. m.;1;1;4;1;3;3;Pereira;Centro;4;21,42
95;9147;21;4;01-04-0617;4/5/2017 0:00:00;4;18;p. m.;1;5;4;1;4;4;Pereira;Centro;4;170,16
96;9147;27;2;01-04-0514;5/5/2017 0:00:00;3;12;p. m.;2;1;5;1;2;2;Pereira;Centro;5;12,29
97;9147;27;2;01-04-0514;6/5/2017 0:00:00;12;32;p. m.;2;5;5;1;2;2;Pereira;Centro;5;12,29
98;9147;63;3;01-08-3124;10/5/2017 0:00:00;1;45;p. m.;1;3;2;1;2;2;Pereira;Oriente;2;37,03
99;9147;63;1;01-08-0183;10/5/2017 0:00:00;11;10;a. m.;1;3;2;2;3;2;Pereira;Oriente;2;43,77
100;9147;63;3;01-08-3124;10/5/2017 0:00:00;2;12;p. m.;1;3;2;1;2;2;Pereira;Oriente;2;50,79
102;9147;4;1;01-02-2561;4/5/2017 0:00:00;3;20;p. m.;1;1;4;1;4;4;Pereira;Rio Otun;4;67,69
103;9147;4;4;01-02-3381;5/5/2017 0:00:00;5;15;p. m.;1;1;4;1;3;3;Pereira;Rio Otun;4;74,07
104;9147;1;1;01-02-3258;4/5/2017 0:00:00;5;15;p. m.;1;1;2;1;6;6;Pereira;Rio Otun;2;46,65
105;9147;4;3;01-02-3370;4/5/2017 0:00:00;4;10;p. m.;2;3;4;1;2;2;Pereira;Rio Otun;4;27,36
106;9147;1;1;01-02-3258;4/5/2017 0:00:00;5;30;p. m.;1;3;2;1;2;2;Pereira;Rio Otun;2;174,97
107;9147;1;4;01-02-3261;4/5/2017 0:00:00;2;40;p. m.;1;1;2;1;3;3;Pereira;Rio Otun;2;50,26
110;9147;1;1;01-02-3258;4/5/2017 0:00:00;4;30;p. m.;1;3;2;1;4;4;Pereira;Rio Otun;2;146,37
112;9147;1;4;01-02-3261;4/5/2017 0:00:00;5;54;p. m.;1;1;2;1;2;2;Pereira;Rio Otun;2;53,47
113;9147;1;3;01-02-0120;5/5/2017 0:00:00;3;30;p. m.;1;3;2;1;3;2;Pereira;Rio Otun;2;810,00
114;9147;1;4;01-02-3261;5/5/2017 0:00:00;3;0;p. m.;1;3;2;1;3;3;Pereira;Rio Otun;2;50,26
116;9147;1;5;01-02-3627;5/5/2017 0:00:00;4;20;p. m.;1;3;2;1;4;3;Pereira;Rio Otun;2;33,13
117;9147;1;5;01-02-3627;5/5/2017 0:00:00;4;30;p. m.;1;5;2;1;1;1;Pereira;Rio Otun;2;38,95
118;9147;1;5;01-02-3627;5/5/2017 0:00:00;4;30;p. m.;1;3;2;1;4;3;Pereira;Rio Otun;2;33,13
119;9147;4;4;01-02-3381;6/5/2017 0:00:00;12;20;p. m.;1;1;4;1;1;1;Pereira;Rio Otun;4;59,30
