"FORMULARIO";"C_002";"C_003";"C_004";"C_005";"C_006";"C_007";"C_008";"C_009";"F_EXP"
"1073";2;4;1;"66001";2014;1;1;0,00;30,69
"1079";1;4;1;"66001";2017;1;1;0,00;24,52
"1080";1;1;1;"66001";2015;1;2;0,00;36,99
"1084";1;1;1;"66001";1998;1;4;0,00;9,01
"1084";2;4;1;"66001";2000;1;1;0,00;9,01
"1087";1;1;1;"66001";2012;1;2;60000,00;36,96
"1091";1;4;1;"66001";2014;1;2;0,00;37,41
"1093";1;1;1;"11001";9999;1;2;136000,00;16,49
"1095";1;1;1;"66001";2016;1;1;0,00;100,89
"1099";1;1;1;"66001";2009;1;1;0,00;44,50
"1099";2;1;1;"66001";2016;1;1;0,00;44,50
"1105";1;4;1;"41206";9999;1;1;0,00;20,69
"1106";1;2;1;"66682";2000;1;4;0,00;19,58
"1106";2;4;1;"66170";2012;1;1;0,00;19,58
"1109";1;1;1;"41001";2014;1;1;0,00;34,22
"1111";1;1;1;"05001";2014;1;1;0,00;42,34
"1111";2;4;1;"05059";2012;1;1;0,00;42,34
"1113";1;1;1;"17001";2016;1;1;0,00;37,31
"1114";1;2;1;"63001";2008;1;1;0,00;35,11
"1116";1;1;1;"11001";2013;1;1;0,00;43,08
"1121";1;1;1;"66001";2013;1;1;0,00;124,87
"1125";1;1;1;"66001";2004;1;1;0,00;21,30
"1126";1;1;1;"17001";2011;1;1;0,00;29,74
"1127";1;4;1;"05001";2008;1;1;0,00;12,04
"1129";1;4;1;"66001";2014;1;4;0,00;26,62
"1135";1;1;1;"66001";2000;1;4;0,00;398,18
"1135";2;1;1;"66001";1995;1;4;0,00;398,18
"1135";3;1;1;"66001";1995;1;4;0,00;398,18
"1136";1;1;1;"66001";2016;1;4;0,00;27,27
"1136";2;1;1;"66001";2016;1;4;0,00;27,27
"1136";3;4;1;"66001";2014;1;1;0,00;27,27
"1136";4;4;1;"66001";2014;1;1;0,00;27,27
"1142";1;4;1;"18001";2012;1;1;0,00;124,77
"1148";1;2;2;"17001";2015;1;1;0,00;116,95
"1148";2;2;1;"17001";2018;1;1;0,00;116,95
"1149";1;1;1;"66001";2015;1;1;0,00;97,94
"1149";2;2;1;"66001";2017;1;1;0,00;97,94
"1151";1;1;1;"66170";2003;1;1;0,00;5,24
"1151";2;4;1;"05266";2005;1;1;0,00;5,24
"1152";1;4;1;"66170";2013;1;1;0,00;189,29
"1153";1;4;1;"66001";2013;1;1;0,00;159,84
"1154";1;4;1;"66001";9999;1;1;0,00;17,53
"1158";1;4;1;"66001";9999;1;2;0,00;10,06
"1163";1;1;1;"66001";2016;1;1;0,00;39,67
"1163";2;4;1;"66001";2006;1;1;0,00;39,67
"1164";1;2;1;"66001";2015;1;1;0,00;39,67
"1166";1;1;1;"66001";2015;1;1;0,00;36,98
"1166";2;4;1;"66001";2013;1;1;0,00;36,98
"1174";1;4;1;"66001";2014;1;1;0,00;67,11
"1183";1;4;1;"66001";2014;1;1;0,00;17,57
"1185";1;4;1;"66001";2016;1;1;0,00;54,95
"1187";1;4;1;"66001";2015;1;1;0,00;30,07
"1190";1;4;1;"66001";2017;1;1;0,00;30,07
"1192";1;1;1;"66001";2015;1;1;0,00;15,91
"1193";1;1;1;"05266";9999;1;1;0,00;43,74
"1193";2;4;1;"19807";1999;1;1;0,00;43,74
"1193";3;4;1;"66682";2015;1;1;0,00;43,74
"1194";1;4;1;"66001";2009;1;1;0,00;6,21
"1196";1;4;1;"66001";2010;1;1;0,00;20,76
"1203";1;1;1;"66001";2016;1;3;0,00;33,08
"1205";1;4;1;"66001";2013;1;1;0,00;17,73
"1206";1;1;1;"66170";2011;1;4;40000,00;13,82
"1207";1;4;1;"66001";2016;1;1;0,00;13,21
"1209";1;4;1;"66001";2012;1;1;0,00;5,40
"1209";2;4;1;"66001";2010;1;1;0,00;5,40
"1210";1;4;1;"66001";2001;1;1;0,00;24,41
"1211";1;4;1;"66001";2010;1;1;0,00;16,14
"1218";1;4;1;"66001";2015;1;1;0,00;28,27
"1219";1;1;1;"66001";2004;1;1;0,00;75,24
"1220";1;1;1;"66001";2008;1;1;0,00;75,24
"1220";2;4;1;"66001";2012;1;1;0,00;75,24
"1222";1;1;1;"66001";2010;1;4;0,00;85,95
"1222";2;4;1;"66001";2017;1;1;0,00;85,95
"1225";1;4;1;"66001";2017;1;1;0,00;96,66
"1226";1;4;1;"66001";2011;1;1;0,00;64,53
"1228";1;4;1;"66001";2008;1;1;0,00;177,00
"1235";1;4;1;"41206";1995;1;1;0,00;35,47
"1238";1;1;1;"11001";2002;1;3;60000,00;31,19
"1238";2;4;1;"66170";2011;1;1;0,00;31,19
"1239";1;4;1;"66001";9999;1;1;0,00;28,84
"1242";1;4;1;"66001";9999;1;1;0,00;40,39
"1246";1;4;1;"66001";2017;1;1;0,00;26,87
"1249";1;1;1;"76520";1975;1;2;60000,00;27,12
"1250";1;1;1;"66001";2012;1;2;0,00;27,12
"1250";2;1;1;"66001";2015;1;2;0,00;27,12
"1250";3;4;1;"66001";2011;1;2;0,00;27,12
"1256";1;4;1;"66001";2007;1;3;30000,00;86,95
"1256";2;4;1;"66001";2016;1;3;25000,00;86,95
"1257";1;4;1;"66001";2015;1;1;0,00;12,41
"1259";1;1;1;"17013";1994;1;1;0,00;17,22
"1262";1;1;1;"66682";2006;1;1;0,00;51,55
"1263";1;1;1;"17001";2015;1;1;0,00;36,98
"1263";2;1;2;"66001";2012;1;1;0,00;36,98
"1265";1;2;1;"66001";2018;1;1;0,00;72,84
"1265";2;2;1;"66001";2014;1;1;0,00;72,84
"1266";1;1;1;"66001";2013;1;1;0,00;19,08
"1268";1;4;1;"66001";2013;1;1;0,00;17,74
"1268";2;4;1;"66001";2015;1;1;0,00;17,74
"1269";1;1;1;"66001";2017;1;1;0,00;92,75
"1270";1;4;1;"66001";2015;1;1;0,00;19,08
"1271";1;1;1;"66001";2018;1;1;0,00;19,08
"1272";1;1;1;"66682";2000;1;1;0,00;52,76
"1273";1;1;1;"66001";2007;1;1;0,00;52,76
"1274";1;1;1;"66001";2015;1;1;0,00;51,00
"1274";2;1;1;"66001";2015;1;1;0,00;51,00
"1276";1;1;1;"17001";1996;1;1;0,00;51,10
"1277";1;1;1;"76147";2000;1;1;0,00;150,00
"1277";2;2;1;"66001";2006;1;1;0,00;150,00
"1277";3;2;2;"66001";2014;1;1;0,00;150,00
"1279";1;4;1;"66001";2013;1;1;0,00;133,32
"1280";1;1;1;"11001";2013;1;4;30000,00;62,38
"1280";2;4;1;"66001";2010;1;1;0,00;62,38
"1282";1;4;1;"66001";2012;1;1;0,00;84,02
"1284";1;4;1;"66001";2015;1;1;0,00;34,06
"1285";1;4;1;"66001";2008;2;1;0,00;50,41
"1299";1;1;1;"66001";9999;1;4;0,00;60,13
"1300";1;4;1;"66682";2015;1;1;0,00;27,20
"1304";1;4;1;"66001";2017;1;1;0,00;12,08
"1306";1;4;1;"66001";2016;1;1;0,00;29,27
"1307";1;1;1;"66001";2018;1;1;0,00;402,85
"1309";1;1;1;"76001";2011;1;3;50000,00;17,63
"1310";1;4;1;"66001";2017;1;1;0,00;25,23
"1311";1;4;1;"66001";2013;1;1;0,00;94,21
"1312";1;4;1;"66001";2017;1;1;0,00;33,15
"1320";1;4;1;"66001";2017;1;1;0,00;21,78
"1322";1;1;1;"66001";2015;1;2;168000,00;31,19
"1323";1;1;1;"66001";2003;1;1;0,00;104,05
"1325";1;1;1;"17001";2004;1;1;0,00;279,88
"1325";2;4;1;"76147";2014;1;1;0,00;279,88
"1327";1;4;1;"66001";2007;1;2;0,00;314,00
"1329";1;1;1;"63190";9999;1;4;0,00;33,17
"1332";1;4;1;"66001";9999;1;1;0,00;19,16
"1333";1;4;1;"66001";2009;1;1;0,00;47,88
"1337";1;4;1;"17174";2016;1;1;0,00;29,47
"1337";2;4;1;"66001";2012;1;1;0,00;29,47
"1342";1;1;1;"66001";2017;1;1;0,00;28,99
"1343";1;4;1;"66001";2014;1;1;0,00;132,70
"1343";2;4;1;"76001";9999;1;1;0,00;132,70
"1345";1;1;1;"66001";2014;1;1;0,00;98,32
"1345";2;4;1;"66001";2017;1;1;0,00;98,32
"1347";1;4;1;"66170";2014;1;1;0,00;34,25
"1349";1;4;1;"66170";2014;1;1;0,00;35,02
"1349";2;4;1;"66001";2012;1;1;0,00;35,02
"1352";1;4;1;"66001";2014;1;1;0,00;42,28
"1355";1;4;1;"66001";9999;1;1;0,00;66,97
"1356";1;2;4;"66001";1971;5;1;0,00;120,25
"1361";1;4;1;"11001";2016;1;1;0,00;44,16
"1364";1;4;1;"66001";9999;1;1;0,00;34,92
"1368";1;1;1;"66001";9999;1;4;0,00;36,91
"1379";1;1;1;"05001";2013;1;1;0,00;18,56
"1387";1;4;1;"17616";2011;1;1;0,00;140,14
"1387";2;4;1;"17616";2014;1;1;0,00;140,14
"1392";1;4;1;"66001";2015;1;1;0,00;86,30
"1393";1;1;1;"66001";2010;1;4;0,00;59,86
"1394";1;4;1;"66001";2013;1;1;0,00;167,91
"1396";1;4;1;"66001";2015;1;1;0,00;22,23
"1397";1;1;1;"66001";9999;1;1;0,00;24,43
"1400";1;1;4;"66001";2008;1;2;50000,00;8,31
"1402";1;4;1;"66170";2008;1;1;0,00;5,40
"1406";1;4;1;"66001";1979;1;1;0,00;39,18
"1415";1;4;1;"76147";2011;1;1;0,00;52,80
"1419";1;4;1;"05059";2016;1;1;0,00;17,96
"1421";1;4;1;"66001";9999;1;1;0,00;25,02
"1422";1;1;1;"66170";2008;1;1;0,00;57,13
"1422";2;4;1;"66001";2015;1;1;0,00;57,13
"1432";1;4;1;"66001";2014;1;2;15000,00;11,68
"1433";1;4;1;"66170";2005;1;1;0,00;239,07
"1434";1;4;1;"66001";2008;1;1;0,00;43,54
"1439";1;1;1;"66001";2012;1;1;0,00;24,49
"1440";1;1;1;"66001";2011;1;1;0,00;25,46
"1441";1;1;1;"11001";2013;1;1;0,00;26,44
"1441";2;4;1;"66001";2017;1;1;0,00;26,44
"1443";1;1;1;"66001";2014;1;2;0,00;11,18
"1444";1;1;1;"11001";2012;1;1;0,00;15,30
"1445";1;1;1;"66001";2013;1;2;0,00;19,43
"1449";1;1;1;"05266";2016;1;1;0,00;206,58
"1449";2;4;1;"66001";2011;1;1;0,00;206,58
"1453";1;4;1;"66001";2006;1;1;0,00;85,95
"1464";1;1;1;"66001";2013;1;2;0,00;19,47
"1468";1;4;1;"05001";2014;1;1;0,00;10,22
"1469";1;1;1;"66170";2015;1;2;100000,00;96,38
"1472";1;1;1;"66001";2014;1;1;0,00;13,11
"1474";1;1;1;"66001";2018;1;1;0,00;17,22
"1475";1;4;1;"66001";2014;1;1;0,00;18,26
"1476";1;1;1;"05001";2016;1;1;0,00;117,32
"1476";2;1;1;"76001";1999;1;1;0,00;117,32
"1476";3;4;1;"76001";2015;1;1;0,00;117,32
"1481";1;4;1;"66001";9999;1;1;0,00;112,90
"1482";1;4;1;"66001";2007;1;1;0,00;18,24
"1483";1;1;1;"63190";2011;1;1;0,00;43,74
"1485";1;1;1;"66400";2006;1;1;0,00;121,19
"1485";2;1;1;"66001";2015;1;1;0,00;121,19
"1486";1;2;1;"11001";2011;1;1;0,00;140,01
"1486";2;2;1;"11001";2013;1;1;0,00;140,01
"1487";1;1;1;"66001";2016;1;1;0,00;110,91
"1487";2;1;1;"66001";2014;1;1;0,00;110,91
"1489";1;1;2;"66001";2016;1;1;0,00;134,73
"1489";2;2;1;"66001";2016;1;1;0,00;134,73
"1490";1;1;1;"66001";2016;1;1;0,00;85,44
"1490";2;1;1;"66001";2015;1;1;0,00;85,44
"1490";3;2;1;"66001";2015;1;1;0,00;85,44
"1490";4;2;1;"66001";2015;1;1;0,00;85,44
"1490";5;2;1;"66001";2016;1;1;0,00;85,44
"1491";1;1;1;"11001";2011;1;1;0,00;86,47
"1491";2;1;1;"66682";2015;1;1;0,00;86,47
"1491";3;1;1;"66001";2015;1;1;0,00;86,47
"1494";1;1;1;"66001";2015;1;1;0,00;101,01
"1494";2;1;2;"66001";2016;1;1;0,00;101,01
"1494";3;1;2;"17001";2017;1;1;0,00;101,01
"1495";1;1;1;"66001";2016;1;1;0,00;43,74
"1495";2;1;1;"66001";2016;1;1;0,00;43,74
"1496";1;1;1;"66001";2018;1;1;0,00;65,36
"1497";1;4;1;"76001";2012;1;1;0,00;19,18
"1498";1;2;2;"05631";2009;1;1;0,00;19,68
"1499";1;1;1;"66001";2011;1;1;0,00;19,68
"1500";1;1;2;"66001";2016;1;1;0,00;98,44
"1501";1;1;1;"05266";2005;1;1;0,00;105,46
"1502";1;1;1;"66001";2018;1;1;0,00;22,69
"1502";2;4;1;"66170";2010;1;1;0,00;22,69
"1504";1;1;1;"63001";2015;1;1;0,00;98,02
"1504";2;4;1;"63001";9999;1;1;0,00;98,02
"1505";1;1;1;"66001";2014;1;1;0,00;79,98
"1505";2;1;1;"66001";2014;1;1;0,00;79,98
"1506";1;1;1;"66001";2011;1;1;0,00;65,16
"1507";1;1;1;"66001";2006;1;1;0,00;83,16
"1507";2;1;1;"05266";2012;1;1;0,00;83,16
"1508";1;1;1;"66001";2018;1;1;0,00;66,79
"1508";2;1;1;"05266";2006;1;1;0,00;66,79
"1509";1;1;1;"66001";2014;1;1;0,00;60,18
"1511";1;1;1;"66001";2015;1;1;0,00;88,55
"1512";1;2;1;"66001";2009;1;1;0,00;15,08
"1513";1;1;1;"66001";2012;1;1;0,00;23,29
"1515";1;1;1;"05001";2007;1;1;0,00;23,29
"1517";1;1;1;"66001";2014;1;1;0,00;40,77
"1519";1;1;1;"66001";2016;1;1;0,00;51,55
"1520";1;1;1;"76001";1978;1;1;0,00;98,36
"1520";2;1;1;"76001";2004;1;1;0,00;98,36
"1522";1;1;1;"05129";2015;1;1;0,00;98,24
"1522";2;4;1;"76001";2014;1;1;0,00;98,24
"1524";1;1;1;"66001";2007;1;4;0,00;57,13
"1524";2;4;1;"66001";2013;1;1;0,00;57,13
"1527";1;4;1;"66001";2014;1;1;0,00;57,13
"1529";1;4;1;"66001";2017;1;1;0,00;24,59
"1529";2;4;1;"66001";2014;1;1;0,00;24,59
"1529";3;4;1;"66001";2015;1;1;0,00;24,59
"1531";1;1;1;"66001";1991;1;2;0,00;505,65
"1532";1;1;1;"63190";2016;1;3;30000,00;234,41
"1532";2;4;1;"66001";2008;1;2;0,00;234,41
"1533";1;1;1;"17001";2002;1;1;0,00;107,75
"1533";2;4;1;"66170";2006;1;1;0,00;107,75
"1536";1;4;1;"66001";9999;1;1;0,00;48,41
"1537";1;1;1;"66001";2014;1;3;150000,00;36,31
"1537";2;4;1;"66001";2015;1;3;60000,00;36,31
"1537";3;5;1;"66001";2017;1;1;0,00;36,31
"1540";1;4;1;"66383";2001;1;1;0,00;29,82
"1542";1;4;1;"63190";9999;1;1;0,00;35,99
"1543";1;4;1;"66170";2003;1;1;0,00;33,70
"1548";1;4;1;"76147";2014;1;1;0,00;37,14
"1548";2;4;1;"76147";2004;1;1;0,00;37,14
"1549";1;4;1;"66170";2010;1;1;0,00;19,21
"1552";1;4;1;"66001";2013;1;2;20000,00;2,29
"1559";1;1;1;"66001";2011;1;1;0,00;53,67
"1559";2;4;1;"66001";2017;1;1;0,00;53,67
"1562";1;1;1;"11001";1999;1;1;0,00;454,91
"1562";2;1;1;"66001";2005;1;1;0,00;454,91
"1567";1;2;1;"11001";2014;1;1;0,00;49,03
"1568";1;4;1;"76147";2001;1;1;0,00;12,41
"1571";1;1;1;"66001";2018;1;1;0,00;34,76
"1571";2;4;1;"66001";2009;1;1;0,00;34,76
"1572";1;1;1;"17001";2012;1;1;0,00;115,54
"1572";2;2;2;"66001";2012;1;1;0,00;115,54
"1574";1;1;1;"66001";9999;1;1;0,00;115,54
"1574";2;4;1;"66001";9999;1;1;0,00;115,54
"1577";1;1;1;"66001";2012;1;2;30000,00;80,23
"1577";2;2;1;"63001";1968;1;2;30000,00;80,23
"1578";1;1;1;"66001";2007;1;1;0,00;25,64
"1578";2;1;1;"66001";2016;1;1;0,00;25,64
"1580";1;1;1;"05001";2003;1;1;0,00;25,56
"1581";1;2;1;"66001";2015;1;1;0,00;126,70
"1582";1;1;1;"66170";2003;1;1;0,00;25,80
"1582";2;4;1;"66001";2016;1;1;0,00;25,80
"1584";1;1;1;"66001";2017;1;1;0,00;107,42
"1585";1;2;1;"66001";2011;1;1;0,00;79,55
"1593";1;4;1;"66001";2014;1;1;0,00;3,84
"1595";1;4;1;"76147";2006;1;2;20000,00;20,90
"1598";1;4;1;"66001";2014;1;2;20000,00;25,66
"1600";1;1;1;"66001";1994;1;1;0,00;102,15
"1606";1;1;1;"66001";1996;1;4;0,00;11,98
"1606";2;4;1;"66001";2012;1;1;0,00;11,98
"1608";1;4;1;"66001";2014;1;1;0,00;36,79
"1613";1;4;1;"66170";2013;1;1;0,00;32,90
"1615";1;4;1;"66170";2016;1;1;0,00;33,39
"1617";1;4;1;"66001";1996;1;1;0,00;21,35
"1618";1;4;1;"66001";9999;1;1;0,00;2,56
"1619";1;4;1;"66001";2012;1;1;0,00;21,78
"1620";1;1;1;"76400";1993;1;1;0,00;14,33
"1620";2;1;1;"66001";9999;1;4;0,00;14,33
"1620";3;4;1;"66001";9999;1;1;0,00;14,33
"1623";1;1;1;"66001";9999;1;1;0,00;38,42
"1630";1;1;4;"05001";1998;1;3;30000,00;136,68
"1631";1;1;1;"41206";9999;1;3;35000,00;41,23
"1636";1;4;1;"66001";2015;1;1;0,00;84,19
"1638";1;1;1;"66001";2016;1;4;50000,00;65,03
"1639";1;4;4;"66001";2011;1;1;0,00;83,63
"1640";1;4;1;"63001";2008;1;1;0,00;149,71
"1642";1;4;1;"66001";2014;1;1;0,00;54,95
"1642";2;4;1;"66001";2014;5;1;0,00;54,95
"1643";1;4;1;"66001";2016;1;1;0,00;46,41
"1644";1;1;1;"66001";2014;1;1;0,00;43,74
"1644";2;1;2;"05266";2015;1;1;0,00;43,74
"1645";1;1;2;"66001";2015;1;1;0,00;43,74
"1645";2;1;1;"66001";2017;1;1;0,00;43,74
"1645";3;4;1;"66001";2015;1;1;0,00;43,74
"1645";4;4;1;"66001";2017;1;1;0,00;43,74
"1647";1;1;1;"11001";2017;1;1;0,00;43,74
"1647";2;1;1;"66001";2017;1;1;0,00;43,74
"1649";1;1;1;"66001";2008;1;1;0,00;62,83
"1649";2;1;1;"66001";2014;1;1;0,00;62,83
"1651";1;1;1;"11001";2017;1;1;0,00;67,50
"1653";1;1;1;"66001";2017;1;1;0,00;95,72
"1653";2;1;1;"11001";2011;1;1;0,00;95,72
"1654";1;4;1;"66001";2018;1;1;0,00;56,74
"1656";1;1;1;"66001";2013;1;1;0,00;82,96
"1656";2;1;1;"11001";2007;1;1;0,00;82,96
"1662";1;1;1;"66001";2016;1;2;0,00;85,58
"1662";2;1;1;"66001";2016;1;2;0,00;85,58
"1663";1;2;1;"11001";2014;1;1;0,00;62,80
"1665";1;1;1;"66001";2012;1;1;0,00;43,74
"1665";2;1;1;"66001";2016;1;1;0,00;43,74
"1666";1;1;1;"11001";2014;1;1;0,00;85,55
"1666";2;1;1;"66001";2013;1;1;0,00;85,55
"1667";1;1;1;"66001";2014;1;1;0,00;115,49
"1667";2;1;1;"66001";2015;1;1;0,00;115,49
"1669";1;1;1;"66001";2017;1;1;0,00;51,52
"1669";2;1;1;"66001";2017;1;1;0,00;51,52
"1670";1;1;1;"11001";2007;1;1;0,00;56,74
"1670";2;4;1;"66001";2011;1;1;0,00;56,74
"1672";1;1;1;"63130";2014;1;1;0,00;43,74
"1672";2;2;1;"66001";2010;1;1;0,00;43,74
"1672";3;2;2;"66001";2010;1;1;0,00;43,74
"1672";4;2;2;"11001";2011;1;1;0,00;43,74
"1672";5;2;2;"11001";2012;1;1;0,00;43,74
"1673";1;1;1;"05001";1994;1;1;0,00;23,37
"1676";1;1;1;"66001";2002;1;4;0,00;79,39
"1679";1;4;1;"66001";2013;1;1;0,00;22,48
"1681";1;1;1;"66001";1977;1;1;0,00;21,36
"1681";2;4;1;"66001";2016;1;1;0,00;21,36
"1687";1;4;1;"66001";2011;1;1;0,00;30,17
"1694";1;4;1;"76364";2011;1;2;28000,00;13,00
"1696";1;4;1;"66045";2012;1;1;0,00;12,86
"1698";1;4;1;"66001";2012;1;1;0,00;48,59
"1698";4;4;1;"66170";2016;1;1;0,00;48,59
"1703";1;2;2;"50001";2012;1;3;80000,00;5,79
"1704";1;4;1;"66001";2006;1;1;0,00;99,06
"1706";1;1;1;"11001";2003;1;1;0,00;73,08
"1706";2;4;1;"66682";1996;1;1;0,00;73,08
"1709";1;4;1;"66001";2012;1;1;0,00;25,56
"1710";1;4;1;"05001";2006;1;1;0,00;56,19
"1710";2;4;1;"66001";1998;1;1;0,00;56,19
"1711";1;4;1;"66001";2014;1;1;0,00;21,62
"1711";2;4;1;"66001";2016;1;1;0,00;21,62
"1715";1;4;1;"11001";2014;1;1;0,00;5,29
"1718";1;4;1;"66001";2010;1;1;0,00;10,84
"1721";1;4;1;"66001";2014;1;1;0,00;4,03
"1721";2;1;1;"66001";2014;1;1;0,00;4,03
"1721";3;4;1;"66001";2017;1;1;0,00;4,03
"1723";1;4;1;"66170";2000;1;2;60000,00;16,11
"1724";1;1;1;"05631";2016;1;2;50000,00;9,75
"1725";1;1;1;"66001";1997;1;2;50000,00;13,01
"1731";1;4;1;"66001";2012;1;1;0,00;53,50
"1733";1;4;1;"66170";2013;1;1;0,00;28,20
"1737";1;4;1;"66170";2012;1;1;0,00;38,13
"1737";2;4;1;"66170";2015;1;1;0,00;38,13
"1739";1;4;1;"66001";2013;1;1;0,00;20,90
"1744";1;4;1;"05001";2012;1;1;0,00;199,26
"1750";1;4;1;"66001";9999;1;1;0,00;259,87
"1753";1;1;1;"66001";2008;1;1;0,00;113,79
"1753";2;4;1;"66001";2012;1;1;0,00;113,79
"1755";1;1;1;"66170";2003;1;2;60000,00;109,03
"1755";2;1;1;"66001";2009;1;1;0,00;109,03
"1755";3;1;1;"66001";2017;1;2;60000,00;109,03
"1760";1;4;1;"66001";2007;1;1;0,00;298,90
"1761";1;4;1;"66001";2016;1;1;0,00;133,84
"1762";1;4;1;"66170";2012;1;1;0,00;13,19
"1763";1;4;1;"66001";2008;1;1;0,00;13,81
"1775";1;4;1;"66170";2008;1;1;0,00;19,40
"1784";1;1;1;"66001";2017;1;1;0,00;16,42
"1787";1;2;1;"66001";2013;1;1;0,00;34,62
"1790";1;4;1;"05001";1987;1;1;0,00;25,50
"1791";1;1;1;"11001";2008;1;1;0,00;28,94
"1800";1;1;1;"66001";2016;1;1;0,00;34,76
"1800";2;1;1;"66001";2017;1;1;0,00;34,76
"1803";1;1;1;"66001";1986;1;1;0,00;35,45
"1805";1;4;1;"66001";2014;1;1;0,00;45,03
"1807";1;4;1;"66001";2014;1;1;0,00;31,78
"1808";1;4;1;"66001";2006;1;1;0,00;39,35
"1810";1;4;1;"66001";1998;1;1;0,00;48,62
"1812";1;4;1;"66682";2012;1;1;0,00;33,82
"1812";2;4;1;"66001";2005;1;1;0,00;33,82
"1813";1;1;1;"66001";9999;2;4;0,00;37,87
"1814";1;1;4;"76001";1995;1;4;0,00;202,07
"1816";1;4;1;"05615";9999;1;1;0,00;18,70
"1817";1;4;1;"66001";2010;1;1;0,00;245,45
"1818";1;4;1;"66001";2016;1;1;0,00;5,40
"1819";1;1;1;"66001";9999;1;2;60000,00;20,71
"1819";2;4;1;"66001";2015;1;2;30000,00;20,71
"1821";1;4;1;"66170";2014;1;1;0,00;79,08
"1821";2;4;1;"76895";2011;1;1;0,00;79,08
"1824";1;4;1;"66001";2016;1;1;0,00;22,19
"1825";1;4;1;"66001";2016;1;1;0,00;90,88
"1827";1;4;1;"25151";2017;1;2;20000,00;79,22
"1829";1;4;1;"66001";2017;1;4;0,00;25,50
"1836";1;4;1;"66001";2013;1;1;0,00;304,49
"1845";1;1;1;"66001";2012;1;1;0,00;10,48
"1850";1;1;1;"05001";1982;1;2;60000,00;13,35
"1852";1;4;1;"66001";2014;1;1;0,00;21,16
"1855";1;4;1;"66001";2014;1;1;0,00;37,13
"1856";1;4;1;"66001";2015;1;1;0,00;30,75
"1857";1;4;1;"66001";2014;1;1;0,00;81,05
"1858";1;4;1;"66001";1995;1;3;20000,00;75,08
"1859";1;4;1;"76147";2013;1;1;0,00;100,71
"1860";1;4;1;"63001";2011;1;1;0,00;94,77
"1861";1;1;1;"25473";2002;1;2;60000,00;94,77
"1863";1;4;1;"17380";1996;1;1;0,00;16,71
"1870";1;1;1;"66001";1989;1;4;0,00;32,93
"1875";1;4;1;"86001";1996;1;1;0,00;419,69
"1877";1;4;1;"66001";2013;1;1;0,00;15,20
"1881";1;2;4;"66001";1993;1;3;80000,00;22,20
"1882";1;4;1;"66001";2016;1;1;0,00;17,53
"1886";1;2;1;"66001";2015;1;1;0,00;29,53
"1887";1;1;1;"66001";2003;1;2;60000,00;45,86
"1889";1;1;1;"66001";2004;1;3;25000,00;118,09
"1889";2;1;1;"66001";2014;1;3;25000,00;118,09
"1890";1;1;1;"76400";2008;1;1;0,00;42,01
"1894";1;1;1;"66001";9999;1;2;35000,00;20,86
"1895";1;4;1;"76111";9999;1;2;30000,00;79,06
"1897";1;4;1;"66001";2017;1;1;0,00;24,18
"1898";1;4;1;"66170";2015;1;1;0,00;29,59
"1899";1;4;1;"66170";2014;1;1;0,00;99,58
"1899";2;4;1;"66170";2014;1;1;0,00;99,58
"1899";3;4;1;"66170";2015;1;1;0,00;99,58
"1900";1;4;1;"66001";2013;1;1;0,00;32,87
"1901";1;4;1;"66001";9999;1;1;0,00;195,46
"1902";1;4;1;"73001";2012;1;1;0,00;15,45
"1903";1;1;1;"17001";1989;1;4;0,00;17,61
"1903";2;4;1;"66001";2003;1;1;0,00;17,61
"1904";1;4;1;"66001";9999;1;1;0,00;129,92
"1906";1;4;1;"76147";9999;1;1;0,00;20,82
"1906";2;4;1;"66001";2013;1;1;0,00;20,82
"1910";1;4;1;"66001";2009;1;1;0,00;31,78
"1912";1;4;1;"66001";9999;1;1;0,00;64,39
"1913";1;4;1;"66001";2014;1;1;0,00;28,61
"1916";1;4;1;"17001";2013;1;1;0,00;51,76
"1916";2;4;1;"66001";2015;1;1;0,00;51,76
"1918";1;1;1;"66001";2011;1;4;40000,00;14,60
"1919";1;4;1;"11001";2013;1;2;15000,00;55,34
"1923";1;4;1;"66001";2015;1;1;0,00;81,11
"1925";1;4;1;"66170";2008;1;4;16000,00;140,79
"1929";1;4;1;"66001";9999;1;1;0,00;74,81
"1933";1;4;1;"66400";2013;1;1;0,00;48,62
"1933";2;4;1;"66001";2016;1;1;0,00;48,62
"1938";1;4;1;"66001";2010;1;1;0,00;28,60
"1938";2;4;1;"66001";2012;1;1;0,00;28,60
"1942";1;5;4;"66001";9999;1;1;0,00;9,91
"1945";1;1;1;"25754";9999;1;3;75000,00;48,42
"1945";2;4;1;"76109";2006;1;1;0,00;48,42
"1947";1;4;1;"17001";2010;1;1;0,00;19,35
"1947";2;4;2;"17001";2010;1;1;0,00;19,35
"1951";1;4;1;"66001";1994;1;1;0,00;30,00
"1956";1;4;1;"66001";2014;1;1;0,00;66,87
"1956";2;4;1;"66682";2012;1;1;0,00;66,87
"1956";3;4;1;"66001";1997;1;1;0,00;66,87
"1957";1;1;1;"11001";1998;1;4;20000,00;19,84
"1962";1;1;1;"66001";2001;1;1;0,00;48,35
"1963";1;4;1;"66001";2015;1;1;0,00;48,35
"1963";2;1;1;"11001";2010;1;1;0,00;48,35
"1967";1;1;1;"66001";1983;1;1;0,00;123,14
"1969";1;4;1;"66400";2015;1;1;0,00;85,00
"1970";1;4;1;"66170";2004;1;1;0,00;147,75
