"FORMULARIO";"C_002";"C_003";"C_004";"C_005";"C_006";"C_007";"C_008";"C_009";"F_EXP"
"0244";1;4;1;"05615";2012;1;3;22000,00;122,82
"0248";1;4;1;"66170";2011;1;3;30000,00;58,67
"0251";1;4;1;"05615";9999;1;1;0,00;33,13
"0261";1;1;1;"11001";2002;1;2;180000,00;105,51
"0262";1;1;1;"11001";1994;1;2;88000,00;96,40
"0263";1;2;1;"17001";9999;1;1;0,00;87,28
"0270";1;4;1;"66001";2017;1;1;0,00;20,03
"0274";1;1;1;"66001";2013;1;2;0,00;60,98
"0275";1;1;1;"66001";1978;1;2;0,00;21,23
"0277";1;4;1;"66001";2009;1;1;0,00;46,63
"0278";1;4;1;"66001";2011;1;1;0,00;58,02
"0281";1;4;1;"05615";2008;1;1;0,00;24,06
"0281";2;4;1;"05615";2010;1;1;0,00;24,06
"0282";1;1;1;"66170";2010;1;1;0,00;37,97
"0283";1;4;1;"66001";2016;1;1;0,00;13,26
"0283";2;4;1;"66001";2014;1;1;0,00;13,26
"0285";1;4;1;"66001";2016;1;2;25000,00;89,28
"0291";1;4;1;"17001";2006;1;1;0,00;83,05
"0292";1;4;1;"19455";2010;1;1;0,00;93,02
"0294";1;4;1;"66001";2017;1;1;0,00;52,68
"0294";2;1;1;"66001";2015;1;1;0,00;52,68
"0299";1;4;1;"54874";2012;1;2;30000,00;104,95
"0300";1;1;1;"11001";2009;1;2;200000,00;31,39
"0305";1;4;1;"66001";2012;1;1;0,00;34,47
"0308";1;4;1;"66170";2015;1;1;0,00;24,96
"0313";1;4;1;"17001";2009;1;1;0,00;170,15
"0327";1;4;1;"66001";1997;1;1;0,00;17,75
"0328";1;4;1;"66170";2005;1;1;0,00;17,37
"0343";1;1;1;"76001";9999;1;3;60000,00;28,97
"0348";1;1;1;"66001";2012;1;2;50000,00;23,36
"0349";1;2;1;"66001";2017;1;2;0,00;19,11
"0349";2;2;1;"66001";2012;1;2;0,00;19,11
"0365";1;1;1;"66001";2011;1;2;0,00;13,41
"0366";1;1;1;"66001";2012;1;2;0,00;230,11
"0367";1;1;1;"47001";2012;1;1;0,00;7,90
"0370";1;1;1;"76001";2008;1;1;0,00;26,44
"0370";2;2;3;"66001";1997;1;1;0,00;26,44
"0384";1;4;1;"66001";2015;1;1;0,00;55,49
"0387";1;4;1;"66001";9999;1;1;0,00;48,90
"0395";1;4;1;"66001";2010;1;1;0,00;21,66
"0395";2;4;1;"05615";2008;1;1;0,00;21,66
"0395";3;4;1;"05615";2008;1;1;0,00;21,66
"0397";1;4;1;"66001";2007;1;1;0,00;122,13
"0397";2;1;1;"66001";2007;1;4;50000,00;122,13
"0401";1;4;1;"66001";2015;1;1;0,00;45,95
"0405";1;4;1;"41206";9999;1;1;0,00;46,33
"0408";1;1;1;"76001";9999;1;1;0,00;59,74
"0408";2;4;1;"66001";9999;1;1;0,00;59,74
"0410";1;4;1;"76001";2010;1;1;0,00;46,36
"0415";1;1;1;"66001";2014;1;1;0,00;8,13
"0416";1;1;4;"66001";2007;1;1;0,00;15,65
"0416";2;4;1;"66001";2014;1;1;0,00;15,65
"0421";1;4;1;"66001";2010;1;1;0,00;28,87
"0423";1;4;1;"17877";2013;1;2;25000,00;36,81
"0423";2;4;1;"17877";2013;1;2;2500,00;36,81
"0426";1;4;1;"66001";2003;1;1;0,00;78,39
"0427";1;1;1;"66001";2016;1;1;0,00;124,93
"0427";2;1;1;"66001";2017;1;1;0,00;124,93
"0427";3;2;1;"11001";2009;1;1;0,00;124,93
"0435";1;2;2;"66001";2008;1;1;0,00;29,72
"0437";1;2;1;"66682";1997;1;3;70000,00;19,16
"0441";1;4;1;"76364";9999;1;1;0,00;17,23
"0441";2;1;1;"76147";9999;1;2;100000,00;17,23
"0441";3;4;1;"41206";9999;1;1;0,00;17,23
"0450";1;4;1;"17614";2013;1;1;0,00;124,73
"0470";1;1;1;"66001";2016;1;1;0,00;22,37
"0473";1;1;1;"66001";2015;1;1;0,00;21,23
"0475";1;1;1;"66001";2005;1;1;0,00;63,87
"0475";2;4;1;"63001";2007;1;1;0,00;63,87
"0478";1;1;1;"76001";2001;1;3;0,00;92,17
"0478";2;4;1;"66001";2011;1;3;0,00;92,17
"0481";1;1;1;"17001";2015;1;1;0,00;25,30
"0481";2;4;1;"66001";2017;1;1;0,00;25,30
"0485";1;1;1;"66001";2012;1;1;0,00;76,60
"0486";1;1;1;"66001";2011;1;1;0,00;42,34
"0490";1;4;1;"66001";2006;1;1;0,00;58,79
"0490";2;4;1;"66001";2006;1;1;0,00;58,79
"0490";3;4;1;"66001";2006;1;1;0,00;58,79
"0491";1;1;1;"66001";2016;1;1;0,00;11,09
"0491";2;1;1;"66001";2014;1;1;0,00;11,09
"0492";1;1;1;"66001";1994;1;1;0,00;20,09
"0492";2;1;1;"66001";2008;1;4;0,00;20,09
"0495";1;1;1;"63001";2016;1;2;0,00;13,46
"0495";2;1;1;"66001";2017;1;2;0,00;13,46
"0496";1;4;1;"66088";2015;1;1;0,00;13,42
"0497";1;1;1;"66001";2014;1;1;0,00;11,09
"0497";2;1;1;"66001";2014;1;1;0,00;11,09
"0498";1;1;1;"66001";2010;1;1;0,00;14,83
"0521";1;4;1;"66001";2010;1;1;0,00;66,67
"0521";2;4;1;"66001";2014;1;1;0,00;66,67
"0522";1;1;1;"11001";9999;1;2;90000,00;53,69
"0523";1;4;1;"66001";2007;1;1;0,00;46,27
"0528";1;4;1;"66001";2007;1;1;0,00;58,30
"0537";1;4;1;"76895";1989;1;1;0,00;14,06
"0538";1;1;1;"66001";2015;1;1;0,00;108,30
"0538";2;2;2;"17001";2014;1;1;0,00;108,30
"0540";1;1;1;"66001";2009;1;1;0,00;10,52
"0542";1;4;1;"66001";2016;1;1;0,00;45,61
"0553";1;7;4;"05059";1997;1;4;0,00;11,85
"0554";1;2;4;"05266";1995;1;2;0,00;52,07
"0554";2;4;1;"66001";2012;1;1;0,00;52,07
"0556";1;4;1;"66001";2006;1;1;0,00;6,02
"0563";1;4;1;"05615";2016;1;1;0,00;130,93
"0567";1;1;1;"11001";2011;1;1;0,00;137,86
"0567";2;3;2;"66001";2014;1;3;90000,00;137,86
"0567";3;5;4;"66001";2010;1;3;80000,00;137,86
