"FORMULARIO";"INGRESOS";"F_EXP"
"0461";3;47,35
"0462";10;37,59
"0463";1;37,59
"0470";10;22,37
"0473";6;21,23
"0475";2;63,87
"0476";2;18,96
"0477";10;15,91
"0478";10;92,17
"0481";4;25,30
"0482";2;46,41
"0485";3;76,60
"0486";10;42,34
"0487";1;41,32
"0488";1;6,58
"0489";1;6,58
"0490";3;58,79
"0491";10;11,09
"0492";5;20,09
"0493";10;18,84
"0495";10;13,46
"0496";10;13,42
"0497";3;11,09
"0498";6;14,83
"0499";10;98,32
"0507";1;12,71
"0514";2;13,33
"0519";1;17,18
"0521";1;66,67
"0522";2;53,69
"0523";1;46,27
"0524";10;47,48
"0525";3;58,30
"0526";1;22,48
"0527";2;25,50
"0528";1;58,30
"0530";1;13,98
"0531";2;19,61
"0533";2;118,49
"0535";2;8,76
"0536";1;25,50
"0537";3;14,06
"0538";3;108,30
"0539";1;122,07
"0540";3;10,52
"0541";2;13,21
"0542";1;45,61
"0543";1;45,61
"0545";2;13,21
"0546";1;39,02
"0547";1;15,54
"0549";1;22,20
"0551";1;42,56
"0553";1;11,85
"0554";2;52,07
"0555";1;16,97
"0556";2;6,02
"0557";1;285,42
"0559";10;6,77
"0560";3;49,88
"0561";2;13,03
"0562";1;10,66
"0563";1;130,93
"0564";2;144,80
"0565";2;5,43
"0566";1;11,17
"0567";6;137,86
"0568";10;7,24
"0569";1;7,16
"0570";2;137,86
"0572";3;5,52
"0573";2;5,52
"0574";1;37,41
"0575";5;7,24
"0577";1;52,31
"0581";8;47,32
"0582";10;10,06
"0583";10;9,92
"0584";10;21,42
"0586";10;27,12
"0587";10;20,49
"0588";3;126,92
"0589";10;89,23
"0590";10;29,19
"0591";1;21,89
"0592";10;28,65
"0593";10;54,91
"0595";2;188,18
"0597";10;28,98
"0598";10;29,32
"0599";10;316,05
"0603";2;30,32
"0604";3;16,42
"0605";7;9,21
"0606";10;16,42
"0607";5;16,42
"0608";8;17,31
"0609";10;7,02
"0610";10;7,15
"0612";2;19,10
"0615";10;28,98
"0616";2;11,82
"0617";10;41,18
"0618";5;27,06
"0619";10;25,97
"0620";10;41,18
"0621";1;6,21
"0624";1;16,95
"0625";2;7,67
"0626";2;7,67
"0627";1;20,52
"0628";3;22,75
"0630";1;12,52
"0631";4;10,83
"0632";6;65,91
"0633";3;65,91
"0636";2;29,84
"0637";7;51,95
"0638";3;65,91
"0639";4;12,12
"0640";10;27,74
"0645";2;69,08
"0646";1;84,48
"0648";5;111,00
"0649";10;71,28
"0650";4;13,02
"0657";2;16,03
"0658";10;66,46
"0659";10;240,55
"0661";1;80,29
"0662";1;53,85
"0664";1;17,18
"0665";1;92,82
"0667";2;8,27
"0671";2;49,60
"0672";2;41,70
"0674";1;107,44
"0676";2;72,20
"0677";2;59,27
"0679";1;45,22
"0680";2;73,33
"0683";2;44,38
"0685";2;33,76
"0688";2;29,34
"0689";10;35,46
"0690";2;26,64
"0691";2;25,60
"0692";5;29,34
"0694";2;28,71
"0695";5;47,96
"0696";2;47,96
"0697";7;13,41
"0699";4;35,46
"0700";6;25,47
"0701";3;29,84
"0702";5;20,45
"0703";10;64,03
"0704";3;12,29
"0705";2;19,81
"0706";1;2,30
"0707";6;64,03
"0709";1;8,76
"0711";1;11,04
"0712";2;9,09
"0713";1;10,06
"0714";2;8,21
"0715";10;14,06
"0716";2;11,30
"0717";3;12,29
"0718";10;9,38
"0719";1;14,73
"0720";2;8,29
"0721";3;16,44
"0724";8;8,46
"0725";3;8,13
"0726";6;17,24
"0727";2;94,44
"0728";5;15,91
"0729";3;42,88
"0730";1;55,12
"0731";1;24,75
"0732";2;83,33
"0734";1;9,70
"0735";3;28,37
"0736";1;13,52
"0737";1;21,98
"0738";2;39,79
"0739";1;15,00
"0741";2;17,22
"0746";5;40,85
"0747";2;40,62
