"FORMULARIO";"INGRESOS";"F_EXP"
"1957";3;19,84
"1958";3;36,74
"1959";2;36,55
"1962";3;48,35
"1963";4;48,35
"1964";1;31,21
"1967";1;123,14
"1969";4;85,00
"1970";3;147,75
"1971";2;81,74
"1972";2;64,78
"1973";6;12,62
"1975";10;53,52
"1976";4;10,69
"1977";2;13,81
"1978";1;50,93
"1979";10;85,00
"1980";2;22,65
"1981";1;47,13
"1982";1;18,68
"1983";2;21,81
"1984";1;25,17
"1985";1;16,86
"1986";1;66,00
"1987";1;17,96
"1989";2;50,38
"1990";10;103,24
"1992";1;62,69
"1993";1;15,29
"1994";3;24,24
"1995";1;22,65
"1996";1;32,36
"1997";2;50,79
"2000";1;11,40
"2001";1;45,86
"2002";1;74,11
"2004";1;127,60
"2006";1;16,41
"2007";2;45,14
"2008";1;45,14
"2009";3;51,47
"2011";2;17,96
"2012";3;58,93
"2014";1;20,89
"2015";2;13,19
"2016";1;103,24
"2017";1;382,59
"2018";10;47,13
"2019";2;17,70
"2020";1;71,44
"2021";1;58,18
"2022";2;58,86
"2023";1;196,70
"2025";10;69,45
"2026";2;14,44
"2027";2;50,93
"2029";2;66,00
"2030";2;45,86
"2031";2;13,29
"2032";1;23,26
"2033";2;30,62
"2034";1;3,98
"2035";10;27,35
"2036";10;84,02
"2037";10;81,74
"2038";1;96,67
"2039";2;160,24
"2040";1;107,20
"2041";2;28,83
"2042";5;28,82
"2043";1;20,14
"2044";1;20,14
"2045";10;12,33
"2046";10;12,80
"2047";10;62,24
"2048";10;96,67
"2049";1;175,58
"2050";2;114,02
"2051";10;22,23
"2053";5;27,32
"2055";2;71,44
"2056";10;46,21
"2057";2;200,49
"2058";10;123,97
"2059";10;36,26
"2060";10;59,75
"2062";10;23,50
"2063";10;59,15
"2064";10;126,70
"2065";3;64,30
"2066";3;38,52
"2067";10;71,44
"2068";1;160,32
"2069";3;62,71
"2070";6;121,94
"2071";3;30,79
"2072";4;27,92
"2073";4;24,45
"2074";10;364,87
"2075";1;69,02
"2076";2;35,85
"2078";1;49,03
"2079";1;170,83
"2080";2;72,62
"2081";2;32,62
"2082";4;15,49
"2083";4;30,97
"2084";5;27,45
"2085";10;85,89
"2086";1;114,02
"2087";1;83,73
"2088";2;26,69
"2090";1;30,33
"2091";2;74,75
"2092";2;31,83
"2093";1;183,24
"2094";2;27,35
"2095";2;13,08
"2096";6;12,90
"2097";2;79,46
"2098";1;79,42
"2099";1;83,73
"2100";5;22,23
"2101";1;27,31
"2102";5;12,80
"2103";9;12,90
"2104";2;11,78
"2105";10;59,58
"2106";2;109,78
"2108";10;39,00
"2109";10;28,99
"2110";7;34,90
"2111";10;58,02
"2112";4;62,18
"2113";2;61,45
"2114";2;58,86
"2115";2;58,18
"2117";1;67,02
"2119";2;62,71
"2120";3;24,87
"2121";7;23,50
"2122";3;48,49
"2125";3;34,47
"2126";4;47,65
"2128";10;28,75
"2129";1;42,04
"2130";1;64,83
"2131";3;37,87
"2132";2;13,35
"2133";1;30,75
"2134";3;63,69
"2135";10;81,05
"2137";10;39,39
"2138";1;25,29
"2139";2;36,93
"2140";2;94,77
"2141";1;14,34
"2142";2;9,90
"2143";2;51,42
"2146";1;47,65
"2148";8;32,29
"2149";2;41,46
"2151";2;9,90
"2153";2;12,86
"2154";2;35,93
"2155";2;30,75
"2156";1;55,79
"2157";2;39,39
"2158";1;96,20
"2159";2;64,83
"2160";2;9,32
"2161";3;22,10
"2162";1;16,71
"2163";1;54,43
"2164";1;85,92
"2165";1;7,67
"2167";2;38,52
"2169";1;20,89
"2170";1;35,54
"2171";1;46,35
"2172";2;39,86
"2173";2;16,72
"2174";3;20,26
"2175";1;51,47
"2176";2;71,38
"2177";10;11,39
"2178";2;92,18
"2179";4;51,76
"2180";2;61,99
"2181";1;281,73
"2182";2;346,67
"2183";1;126,12
"2184";1;63,75
"2185";1;25,66
"2186";2;84,02
"2187";10;98,43
"2188";1;108,23
"2189";4;40,00
"2190";2;57,81
"2191";10;79,75
"2192";1;71,60
"2193";1;23,26
"2194";1;123,14
"2195";3;39,14
"2196";10;77,70
"2197";3;66,06
"2198";1;62,38
"2199";3;55,62
"2201";3;7,35
"2202";4;5,09
"2203";2;114,29
"2204";10;27,87
"2205";10;27,45
"2206";10;23,02
"2207";10;21,23
"2208";10;16,14
"2209";10;16,07
"2212";10;16,39
"2213";2;55,73
"2218";10;25,64
"2219";10;25,64
"2220";10;25,56
"2221";2;56,32
"2223";2;29,63
"2224";2;32,31
"2225";1;37,71
"2226";10;13,21
"2227";10;39,36
"2229";10;117,43
"2230";10;58,34
"2232";10;99,45
"2233";4;18,46
"2239";1;67,88
"2240";1;47,74
"2241";1;51,10
"2242";1;47,74
"2243";1;69,99
"2244";1;66,20
"2245";5;12,90
"2246";2;68,00
"2248";3;27,90
"2249";5;59,29
"2251";2;27,74
"2252";1;257,81
"2254";2;28,43
"2255";7;12,99
"2256";1;257,81
"2257";3;111,80
"2258";2;104,61
"2259";3;12,99
"2260";2;106,20
"2261";2;186,62
"2262";1;186,62
"2263";2;28,88
"2264";5;148,41
"2265";1;300,68
"2266";7;12,99
"2267";1;84,73
"2268";10;58,55
"2270";10;38,90
"2271";2;47,13
"2273";1;87,91
"2274";1;17,50
"2275";5;56,74
"2276";3;101,69
"2277";1;75,33
"2278";1;95,85
"2279";3;82,04
"2280";1;33,79
"2281";2;37,93
"2283";10;44,62
"2284";10;61,27
"2285";1;25,66
"2287";6;8,83
"2288";1;207,10
"2289";10;51,10
"2290";2;207,10
"2291";2;66,68
"2292";2;435,58
"2293";1;25,77
"2294";1;362,11
"2295";7;8,85
"2296";2;51,13
"2297";2;18,79
"2298";2;20,50
"2299";2;31,51
"2302";3;25,66
"2303";2;271,91
"2304";2;112,93
"2305";2;112,93
"2306";2;140,79
"2307";2;38,68
"2308";2;38,68
"2309";1;42,50
"2310";2;45,21
"2311";2;25,66
"2312";1;25,66
"2313";4;8,01
"2314";5;7,47
"2316";10;8,83
"2317";10;8,85
"2318";1;429,59
"2319";1;92,72
"2320";1;51,44
"2321";2;93,75
"2322";2;67,08
"2323";2;25,66
"2324";1;7,47
"2325";4;7,47
"2326";5;3,38
"2327";5;7,44
"2328";1;71,12
"2329";7;12,37
"2331";4;5,88
"2333";2;79,75
"2334";2;74,11
"2335";1;69,93
"2336";10;51,76
"2338";1;52,38
"2339";1;75,78
"2340";10;64,09
"2341";10;68,48
"2342";1;68,48
"2343";1;47,57
"2344";1;102,25
"2345";2;68,48
"2346";2;87,80
"2347";1;152,95
"2348";2;287,99
"2349";2;79,75
"2350";1;79,75
"2352";2;165,85
"2354";1;31,24
"2355";2;545,45
"2356";1;31,24
"2357";2;104,53
"2358";1;107,13
"2359";1;60,83
"2360";2;27,68
"2361";1;107,13
"2362";2;32,24
"2363";2;54,20
"2364";2;26,59
"2366";2;29,53
"2367";1;40,73
"2368";2;29,53
"2370";1;118,82
"2372";2;79,33
"2374";3;16,86
"2375";2;253,20
"2376";1;70,05
"2378";2;11,46
"2379";10;71,79
"2380";5;61,48
"2381";1;53,13
"2382";1;7,67
"2384";1;15,39
"2385";1;71,79
"2386";1;53,13
"2387";1;43,80
"2388";2;71,79
"2390";2;87,14
"2391";1;47,78
"2392";2;17,53
"2393";2;5,46
"2394";2;23,45
"2395";1;194,71
"2396";1;29,63
"2397";2;23,89
"2399";2;44,75
"2400";2;27,93
"2401";6;41,64
"2402";1;26,81
"2403";1;29,28
"2404";4;60,26
"2407";2;121,94
"2408";2;35,45
"2409";1;48,81
"2410";2;97,73
"2412";3;48,81
"2413";1;50,97
"2414";10;47,17
"2415";2;22,62
"2416";1;20,50
"2418";1;16,89
"2419";2;40,88
"2420";1;41,23
"2421";1;50,08
"2422";10;17,57
"2423";1;21,16
"2425";2;71,08
"2426";1;91,27
"2427";1;64,74
"2428";10;146,86
"2429";10;91,32
"2430";1;801,26
"2431";1;207,51
"2432";1;114,32
"2433";2;29,29
"2434";1;45,47
"2435";2;75,03
"2436";1;75,03
"2438";1;50,97
"2439";2;19,19
"2440";2;58,06
"2441";1;34,06
"2442";2;35,45
"2443";2;25,74
"2444";2;38,92
"2445";2;35,45
"2446";2;31,28
"2447";2;21,16
"2448";3;38,30
"2449";1;21,16
"2450";1;131,19
"2451";1;21,16
"2452";1;33,74
"2453";1;35,41
"2454";1;32,06
"2455";10;44,84
"2456";2;41,86
"2457";2;35,91
"2458";2;53,71
"2459";2;35,41
"2460";3;17,68
"2461";1;27,89
"2462";1;68,62
"2463";1;42,83
"2464";1;72,70
"2465";2;64,13
"2466";2;99,72
"2467";2;53,53
"2468";1;123,28
"2469";2;73,18
"2470";2;30,17
"2471";1;291,68
"2472";1;46,23
"2473";1;25,90
"2474";2;260,47
"2475";2;112,79
"2476";10;216,13
"2477";5;145,36
"2478";1;78,60
"2479";1;104,68
"2480";10;87,88
"2481";1;30,38
"2482";2;214,57
"2483";1;305,13
"2484";4;150,34
"2485";1;86,87
"2486";1;288,26
"2488";10;65,54
"2489";6;57,51
"2490";1;32,49
"2491";1;29,16
"2492";1;126,33
"2493";2;54,42
"2494";3;76,18
"2495";1;37,72
"2496";10;56,55
"2498";1;26,22
"2499";2;72,01
"2500";1;54,42
"2501";3;43,75
"2502";1;190,89
"2503";1;62,49
"2504";1;26,82
"2505";1;88,56
"2506";1;78,16
"2507";2;72,38
"2508";1;216,06
"2509";1;245,76
"2510";1;213,64
"2511";1;139,99
"2512";10;40,95
"2513";3;74,38
"2515";1;103,87
"2516";1;29,53
"2517";4;18,79
"2518";4;17,75
"2519";3;18,27
"2520";2;18,27
"2521";2;87,14
"2522";2;93,77
"2523";1;30,17
"2524";1;32,57
"2525";2;32,57
"2526";1;93,77
"2527";1;67,99
"2528";10;67,99
"2529";2;67,99
"2530";2;46,55
"2531";3;58,42
"2532";2;30,30
"2534";10;71,40
"2535";1;67,72
"2536";10;152,30
"2537";10;152,30
"2538";10;61,89
"2539";2;24,92
"2540";2;72,89
"2541";3;19,83
"2542";2;40,15
"2543";2;62,32
"2544";2;37,65
"2545";1;64,68
"2546";1;15,38
"2547";10;47,62
"2548";1;44,55
"2549";10;22,40
"2550";2;61,45
"2551";3;71,15
"2552";3;46,33
"2553";2;24,92
"2554";3;25,54
"2555";1;25,75
"2556";1;38,08
"2558";1;63,87
"2559";1;54,64
"2560";1;79,75
"2561";2;29,63
"2562";2;31,00
"2564";2;127,88
"2566";1;36,29
"2567";2;54,64
"2569";2;140,28
"2570";2;38,08
"2572";10;49,27
"2573";10;50,32
"2574";1;162,50
"2575";1;79,75
"2576";10;51,47
"2577";3;25,75
"2578";2;16,86
"2579";10;24,92
"2580";1;63,87
"2581";1;39,86
"2582";4;62,19
"2583";1;29,28
"2586";10;35,47
"2588";1;93,33
"2589";2;64,16
"2590";10;27,87
"2591";10;27,87
"2594";2;36,29
"2595";1;74,11
"2596";1;79,33
"2597";1;79,33
"2598";2;127,88
"2599";2;47,54
"2600";10;49,53
"2601";1;24,24
"2602";1;74,11
"2603";1;51,47
"2604";1;25,17
"2606";2;47,54
"2608";1;26,81
"2610";1;34,51
"2611";4;15,81
"2612";3;15,15
"2613";1;161,03
"2614";2;27,90
"2615";1;85,57
"2616";1;29,30
"2618";2;20,96
"2619";1;36,81
"2623";2;34,98
"2624";1;56,32
"2625";10;5,79
"2626";1;14,38
"2627";2;16,67
"2628";2;39,36
"2629";1;13,82
"2630";10;5,79
"2631";10;39,87
"2632";1;188,57
"2633";1;7,64
"2634";2;28,19
"2635";1;26,08
"2636";10;90,17
"2637";1;124,69
"2638";1;8,49
"2639";1;35,62
"2640";1;114,92
"2641";2;308,13
"2642";1;50,49
"2643";1;8,66
"2644";1;10,97
"2645";1;67,46
"2646";1;106,26
"2647";1;163,93
"2648";2;74,11
"2649";1;74,11
"2650";2;96,55
"2651";2;68,48
"2652";1;68,48
"2653";2;127,60
"2654";1;74,11
"2656";2;60,39
"2657";2;86,22
"2658";2;298,52
"2659";7;29,45
"2660";3;29,80
"2661";4;26,62
"2663";1;36,81
"2664";1;59,23
"2665";10;60,39
"2667";3;18,46
"2668";2;42,57
"2669";2;47,74
"2670";6;42,57
"2672";10;103,94
"2673";10;28,72
"2674";2;15,14
"2675";1;52,49
"2688";1;226,45
"2689";2;324,28
"2690";1;185,90
"2692";2;93,56
"2694";10;185,90
"2695";10;142,63
"2696";10;85,33
"2697";2;16,41
"2698";10;11,98
"2699";2;43,44
"2700";2;43,44
"2701";3;62,19
"2702";2;64,16
"2703";1;7,82
"2704";2;15,97
"2705";2;16,41
"2706";2;29,23
"2707";2;31,26
"2708";1;27,20
"2709";1;7,82
"2710";1;8,27
"2711";2;8,50
"2712";1;53,46
"2713";2;58,11
"2714";2;36,52
"2715";1;22,44
"2717";1;41,56
"2718";10;42,09
"2719";1;70,79
"2720";1;74,61
"2721";10;29,40
"2722";2;63,56
"2723";2;20,69
"2724";1;32,48
"2725";2;96,16
"2726";1;104,53
"2727";2;23,64
"2728";10;48,31
"2729";2;96,16
"2730";2;61,81
"2731";1;63,56
"2732";2;52,92
"2733";2;35,43
"2734";1;11,10
"2735";1;48,31
"2736";2;139,02
"2737";1;105,59
"2738";1;159,20
"2739";2;108,58
"2741";1;159,20
"2742";1;183,98
"2743";1;108,58
"2744";1;31,24
"2745";1;32,74
"2746";10;42,37
"2747";3;69,94
"2748";10;142,63
"2750";1;117,58
"2751";1;137,41
"2752";10;233,80
"2753";1;219,00
"2755";6;309,83
"2756";10;145,08
"2757";1;90,56
"2758";3;103,35
"2759";10;53,94
"2760";2;185,90
"2761";10;141,85
"2762";1;191,24
"2763";3;18,96
"2764";2;29,16
"2765";2;37,03
"2766";3;29,16
"2767";4;7,54
"2768";10;7,02
"2769";2;7,02
"2770";4;51,61
"2771";10;40,73
"2772";10;6,30
"2773";2;51,61
"2777";2;40,50
"2778";2;25,77
"2780";2;325,21
"2781";2;32,01
"2782";3;74,25
"2784";4;47,16
"2785";10;191,66
"2786";10;40,73
"2787";10;42,17
"2788";2;45,00
"2789";2;42,17
"2790";1;42,17
"2791";2;120,00
"2792";1;120,00
"2793";4;47,50
"2794";4;29,16
"2795";1;29,16
"2796";2;109,37
"2797";1;114,75
"2798";4;114,75
"2799";1;202,42
"2800";2;32,01
"2801";2;127,64
"2802";1;46,52
"2803";10;167,43
"2804";2;133,39
"2805";1;140,16
"2806";1;326,19
"2807";2;326,19
"2808";4;414,39
"2809";2;414,39
"2810";10;48,56
"2811";3;247,55
"2812";6;46,51
"2813";2;128,26
"2814";2;128,26
"2815";2;152,01
"2816";2;352,99
"2818";10;25,50
"2819";1;3,98
"2820";1;21,73
"2825";3;26,65
"2828";10;60,26
"2829";10;60,26
"2830";10;75,33
"2831";2;34,99
"2832";1;40,42
"2833";1;23,69
"2834";1;21,73
"2835";10;7,15
"2836";1;7,02
"2838";3;88,88
"2839";3;24,75
"2840";1;6,58
"2841";10;34,99
"2842";2;20,94
"2843";1;55,46
"2844";1;63,94
"2845";2;79,22
"2846";10;16,44
"2847";4;21,87
"2848";10;18,03
"2849";2;26,25
"2850";5;75,33
"2851";2;20,94
"2852";1;249,60
"2853";10;27,87
"2854";10;3,67
"2855";10;26,25
"2856";3;29,40
"2857";4;17,24
"2858";3;93,33
"2859";1;64,16
"2861";10;31,31
"2862";2;37,13
"2863";1;32,86
"2864";10;5,79
"2865";10;86,22
"2866";10;50,20
"2867";10;19,48
"2868";10;2,32
"2869";10;2,33
"2870";10;2,33
"2871";10;145,38
"2872";3;59,23
"2873";2;107,83
"2874";2;113,60
"2875";10;16,47
"2876";1;110,95
"2877";1;49,00
"2878";1;35,08
"2880";1;91,40
"2881";1;31,52
"2882";1;110,02
"2883";2;32,46
"2884";1;39,30
"2885";2;39,06
"2886";1;48,71
"2887";1;59,50
"2888";2;68,62
"2889";2;64,13
"2890";1;64,13
"2892";1;54,17
"2893";1;76,66
"2896";1;30,17
"2897";1;28,70
"2899";1;80,03
"2901";1;52,44
"2902";2;32,59
"2904";10;31,98
"2905";1;59,02
"2906";2;59,02
"2907";2;59,02
"2908";2;35,29
"2909";1;19,05
"2910";1;72,30
"2911";1;34,22
"2912";10;69,41
"2913";1;161,62
"2914";2;197,60
"2917";2;70,27
"2918";10;57,96
"2920";1;80,61
"2921";1;52,88
"2922";1;29,53
"2923";3;29,53
"2924";1;29,92
"2925";1;68,85
"2926";1;73,60
"2927";2;67,77
"2928";1;70,62
"2929";1;70,62
"2930";1;111,38
"2931";2;64,29
"2932";2;37,60
"2933";1;38,58
"2934";1;59,09
"2935";10;61,64
"2936";10;121,09
"2937";1;70,04
"2938";1;71,22
"2939";2;201,21
"2940";1;14,82
"2941";2;32,49
"2942";2;87,47
"2943";10;38,90
"2944";1;31,32
"2945";1;65,24
"2946";2;232,94
"2947";2;92,89
"2948";1;95,85
"2949";10;56,79
"2950";2;71,04
"2951";1;81,73
"2952";3;77,15
"2953";2;81,73
"2954";1;62,10
"2955";1;13,25
"2956";1;22,76
"2957";7;27,00
"2958";8;22,92
"2959";6;16,10
"2960";10;74,39
"2961";2;240,15
"2962";1;201,21
"2963";1;226,02
"2964";2;59,44
"2965";10;62,99
"2966";1;81,47
"2967";2;13,41
"2968";2;32,49
"2969";1;32,02
"2970";1;64,56
"2971";1;66,70
"2972";1;11,29
"2973";1;57,06
"2974";2;17,75
"2975";10;18,14
"2976";1;17,37
"2977";2;33,59
"2978";3;37,10
"2979";1;3,87
"2980";1;3,86
"2981";1;41,12
"2982";10;41,48
"2983";10;33,59
"2984";10;33,59
"2985";10;3,58
"2986";1;19,62
"2987";1;19,68
"2988";1;19,68
"2989";1;55,17
"2990";1;55,17
"2991";2;17,07
"2992";2;17,12
"2993";2;17,02
"2994";2;17,02
"2995";2;14,04
"2996";2;7,65
"2997";2;7,63
"2998";1;7,65
"2999";1;7,65
"3000";2;14,04
"3001";1;83,51
"3002";3;25,66
"3003";1;26,89
"3004";1;40,84
"3006";1;75,68
"3008";1;33,12
"3009";1;12,08
"3012";10;43,15
"3013";1;162,31
"3014";10;136,71
"3016";2;17,46
"3017";10;42,83
"3018";1;42,83
"3020";1;46,60
"3021";1;17,46
"3022";2;18,52
"3023";2;111,35
"3025";2;57,96
"3026";2;33,81
"3027";2;75,68
"3028";2;46,23
"3029";2;33,68
"3030";1;226,19
"3032";1;35,79
"3033";2;161,24
"3035";1;37,91
"3036";10;69,41
"3038";1;30,38
"3039";1;33,68
"3040";10;34,22
"3041";1;28,82
"3042";1;64,13
"3044";1;93,29
"3045";1;93,29
"3046";2;59,02
"3047";1;147,60
"3048";1;52,44
"3049";1;36,07
"3050";1;52,83
"3051";1;141,67
"3052";10;99,33
"3053";1;99,33
"3054";1;38,48
"3056";1;42,70
"3057";1;28,65
"3058";2;11,67
"3060";2;16,25
"3061";1;34,00
"3062";2;46,33
"3063";2;14,94
"3064";2;15,81
"3065";2;41,30
"3066";2;37,41
"3067";3;37,22
"3068";2;11,67
"3069";1;22,18
"3070";1;15,93
"3071";2;113,25
"3072";2;50,47
"3073";2;44,26
"3074";2;76,86
"3075";2;21,71
"3076";2;19,81
"3077";3;21,23
"3078";2;119,61
"3079";1;3,86
"3080";1;3,86
"3081";10;30,46
"3082";10;268,88
"3083";10;231,64
"3084";10;17,11
"3085";10;14,94
"3086";1;12,47
"3087";10;19,34
"3088";1;19,81
"3089";2;12,68
"3090";1;12,47
"3091";1;21,12
"3092";1;27,80
"3093";1;12,25
"3094";1;15,63
"3095";1;15,72
"3096";1;17,78
"3097";10;125,40
"3098";1;113,25
"3099";1;17,73
"3100";1;78,58
"3101";1;7,16
"3102";1;7,58
"3103";1;197,85
"3104";1;210,03
"3105";1;17,37
"3106";1;17,37
"3107";10;42,19
"3108";10;50,47
"3109";2;18,87
"3112";2;101,68
"3113";10;146,03
"3114";10;14,60
"3115";10;133,78
"3116";3;216,92
"3117";1;40,95
"3118";1;37,65
"3119";10;23,00
"3120";10;23,00
"3121";10;497,10
"3122";5;125,40
"3123";2;50,47
"3124";1;19,44
"3125";1;15,90
"3126";2;14,62
"3127";2;58,71
"3128";2;58,71
"3131";1;7,62
"3132";10;7,42
"3133";1;19,77
"3134";1;17,64
"3135";1;21,91
"3136";1;20,84
"3137";1;131,87
"3138";2;131,87
"3139";2;87,12
"3140";10;154,87
"3141";2;183,82
"3142";1;89,20
"3143";2;61,96
"3144";1;89,20
"3145";1;38,41
"3146";10;21,54
"3147";3;26,38
"3148";1;31,22
"3149";2;13,46
"3150";2;6,18
"3151";6;22,92
"3152";1;8,23
"3153";1;269,75
"3154";2;8,23
"3155";1;8,28
"3156";1;94,07
"3157";2;26,43
"3158";1;94,60
"3159";1;267,93
"3160";1;94,60
"3161";10;267,93
"3162";1;94,07
"3163";2;8,25
"3164";7;14,62
"3165";1;13,84
"3166";2;14,62
"3167";2;60,52
"3168";1;90,88
"3169";10;11,88
"3170";1;53,17
"3171";10;136,70
"3173";3;136,71
"3174";2;58,91
"3175";2;532,98
"3177";2;68,72
"3178";10;214,87
"3179";1;33,86
"3180";10;41,30
"3182";1;19,81
"3183";1;3,57
"3184";1;11,74
"3185";1;97,93
"3186";1;33,59
"3187";1;34,00
"3188";10;33,45
"3189";1;40,76
"3190";1;41,30
"3191";1;7,63
"3192";1;13,77
"3193";1;7,63
"3194";1;7,63
"3195";1;55,17
"3196";1;7,60
"3197";2;55,17
"3198";3;38,76
"3199";10;3,58
"3201";10;3,58
"3202";1;11,77
"3203";1;11,80
"3204";10;11,80
"3205";10;11,83
"3206";1;190,55
"3207";1;27,21
"3208";2;51,49
"3209";2;40,94
"3210";2;41,12
"3211";2;16,81
"3212";1;16,80
"3213";7;16,81
"3214";10;11,98
"3215";1;35,75
"3216";1;8,20
"3219";3;16,80
"3220";2;11,77
"3221";1;101,07
"3222";1;113,58
"3223";1;316,88
"3224";1;123,22
"3228";10;30,47
"3230";10;43,02
"3237";2;43,02
"3238";10;141,81
"3239";1;64,37
"3240";10;34,95
"3242";2;254,38
"3245";10;173,90
"3247";1;14,60
"3255";1;29,72
"3256";1;185,59
"3257";1;44,33
"3258";1;72,24
"3259";2;113,11
"3260";2;60,79
"3261";1;60,79
"3262";1;122,91
"3266";1;67,54
"3267";1;36,91
"3268";1;36,91
"3269";1;36,91
"3270";1;36,31
"3271";10;446,24
"3272";2;446,24
"3273";2;84,81
"3274";1;83,16
"3275";2;83,16
"3276";1;85,69
"3277";1;85,69
"3278";1;61,64
"3279";1;122,91
"3281";1;85,60
"3282";2;81,47
"3284";3;68,37
"3285";2;89,50
"3286";1;69,73
"3287";1;85,60
"3288";2;85,60
"3289";1;67,54
"3290";3;58,51
"3291";1;51,74
"3292";1;41,30
"3293";2;26,90
"3294";2;27,21
"3296";1;3,78
"3297";1;136,91
"3298";2;9,96
"3299";2;9,96
"3300";1;8,59
"3302";1;8,59
"3303";10;12,24
"3304";1;3,56
"3305";1;3,78
"3306";10;3,59
"3307";2;31,31
"3308";9;24,73
"3309";10;3,78
"3310";1;8,25
"3311";3;199,99
"3312";3;8,59
"3313";10;47,11
"3314";10;179,46
"3315";10;162,06
"3316";10;256,41
"3317";10;79,37
"3318";10;70,69
"3319";10;134,29
"3320";10;87,06
"3322";10;51,98
"3323";1;18,56
"3324";10;13,28
"3325";10;33,86
"3326";2;281,70
"3327";3;446,90
"3328";2;48,54
"3329";3;32,00
"3330";3;239,19
"3331";1;240,88
"3332";10;212,91
"3333";1;212,91
"3334";1;101,52
"3335";3;31,99
"3336";1;202,42
"3337";10;201,31
"3338";10;90,30
"3339";5;247,09
"3340";1;248,47
"3341";10;31,31
"3342";1;343,73
"3343";2;138,52
"3344";1;169,90
"3345";7;109,30
"3346";8;109,44
"3347";10;411,87
"3348";2;48,56
"3349";4;48,57
"3350";10;31,29
"3351";1;280,68
"3352";10;127,64
"3353";2;127,64
"3354";1;240,04
"3355";2;73,84
"3357";2;31,31
"3359";3;82,43
"3360";4;138,34
"3362";1;86,38
"3363";10;49,74
"3364";1;46,29
"3365";1;75,30
"3366";2;58,14
"3367";2;68,00
"3368";4;50,97
"3369";10;169,30
"3370";10;108,44
"3371";1;50,35
"3372";1;91,41
"3374";1;80,70
"3375";3;787,56
"3376";10;94,24
"3377";1;54,24
"3378";1;71,83
"3379";1;65,68
"3380";1;61,87
"3381";2;89,73
"3382";1;38,10
"3383";1;85,96
"3384";1;75,10
"3385";2;43,33
"3386";2;469,77
"3387";1;63,37
"3388";2;43,33
"3389";2;69,33
"3390";1;71,69
"3391";1;96,74
"3392";1;112,78
"3393";2;80,71
"3395";1;71,69
"3396";3;93,45
"3397";1;101,69
"3398";2;196,41
"3399";1;76,57
"3401";5;73,42
"3402";1;94,33
"3403";3;94,33
"3404";2;49,12
"3405";1;188,64
"3406";2;158,81
"3407";2;76,96
"3408";4;99,74
"3409";3;73,42
"3411";1;79,51
"3412";1;310,51
"3413";1;370,07
"3414";6;73,42
"3415";2;59,78
"3416";2;185,01
"3417";2;80,78
"3418";2;80,78
"3419";2;45,39
"3420";1;182,08
"3421";10;224,68
"3422";2;112,79
"3424";4;141,67
"3425";2;310,80
"3426";1;56,69
"3427";1;10,46
"3428";2;123,95
"3429";1;304,38
"3430";1;225,84
"3431";1;49,52
"3432";1;40,91
"3433";2;22,37
"3434";1;56,52
"3435";1;21,47
"3436";2;45,13
"3438";1;31,22
"3439";1;270,67
"3440";2;56,52
"3441";1;45,13
"3442";1;19,21
"3443";2;58,12
"3444";1;40,91
"3445";10;76,13
"3446";1;49,52
"3447";10;58,12
"3448";1;67,41
"3449";3;34,73
"3450";1;40,03
"3451";2;43,76
"3452";4;40,91
"3453";2;21,88
"3454";1;34,73
"3455";2;34,73
"3456";1;44,95
"3457";2;38,72
"3458";3;30,31
"3459";2;32,31
"3460";2;24,93
"3461";4;98,82
"3462";2;19,90
"3463";1;26,34
"3464";1;39,34
"3465";2;19,90
"3467";2;173,43
"3468";2;532,23
"3469";2;28,24
"3470";1;13,98
"3471";1;28,24
"3472";1;43,74
"3473";2;88,05
"3474";1;69,65
"3475";1;25,88
"3477";2;266,50
"3478";2;307,54
"3479";3;27,72
"3480";2;29,31
"3481";1;43,74
"3482";2;52,00
"3483";2;58,48
"3484";2;43,74
"3485";2;21,28
"3487";1;418,95
"3488";1;80,00
"3489";1;256,41
"3490";1;146,35
"3491";1;253,96
"3492";1;116,85
"3493";1;70,03
"3494";1;138,84
"3495";1;117,16
"3496";1;37,52
"3497";1;44,33
"3498";1;36,61
"3499";1;169,29
"3500";1;154,69
"3501";1;180,96
"3502";2;164,01
"3503";3;241,71
"3504";10;78,31
"3505";2;36,31
"3506";1;40,03
"3507";1;39,34
"3508";2;36,31
"3509";2;81,47
"3510";2;36,61
"3511";2;126,54
"3512";6;70,71
"3513";1;50,44
"3514";3;66,48
"3515";1;66,48
"3516";10;34,38
"3517";5;47,88
"3518";1;43,33
"3519";3;45,48
"3520";1;141,08
"3521";3;69,70
"3522";2;51,50
"3523";4;66,48
"3524";3;66,48
"3525";1;25,22
"3526";1;23,66
"3527";1;47,63
"3528";10;533,18
"3529";1;71,83
"3530";10;53,17
"3531";1;104,56
"3532";1;126,54
"3533";1;70,71
"3534";10;85,96
"3536";1;96,83
"3537";5;37,40
"3539";2;52,04
"3540";1;86,02
"3541";1;76,57
"3542";1;103,66
"3543";2;41,19
"3544";2;37,70
"3546";2;52,04
"3547";5;252,46
"3548";4;108,78
"3549";10;79,52
"3550";10;78,46
"3551";10;126,54
"3552";1;79,52
"3553";1;65,05
"3554";1;49,12
"3555";3;47,36
"3556";1;34,38
"3558";2;31,90
"3559";3;23,66
"3560";1;33,14
"3561";2;22,58
"3562";3;122,84
"3563";10;47,38
"3564";10;65,36
"3565";10;185,95
"3566";1;58,51
"3567";1;76,57
