"FORMULARIO";"B_001";"D_003";"D_004";"D_005";"D_006";"D_006_A";"ZAT_O";"D_007";"D_008";"D_009_HH";"D_009_MM";"D_009_A";"D_010_NO";"D_010L";"D_010M";"D_010Mc";"D_010J";"D_010V";"D_010S";"D_010D";"D_010_Ocasional";"D_011A";"D_011B";"D_011C";"D_012";"F_EXP"
"0024";1;;;5/5/2017 0:00:00;1;;;;;10;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"21 CON 6,PARQUE INDUSTRIAL, CEMENTERIO LA OFRENDA, HOGAR";103,12
"0024";3;;;5/5/2017 0:00:00;1;;;;;6;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"HOGAR,TRABAJO,";103,12
"0026";1;;;5/5/2017 0:00:00;1;;;;;8;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"hogar,supermercado";228,79
"0026";3;;;5/5/2017 0:00:00;1;;;;;8;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"hogar, trabajo";228,79
"0027";1;;;5/5/2017 0:00:00;1;;;;;6;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"estadio,clinica,dirigencia,casa";136,89
"0027";3;;;5/5/2017 0:00:00;1;;;;;5;50;"A.M.";1;0;0;0;0;0;0;0;0;8;2;2;"trabajo,casa";136,89
"0027";4;;;5/5/2017 0:00:00;1;;;;;5;50;"A.M.";1;0;0;0;0;0;0;0;0;8;2;2;"casa,trabajo";136,89
"0027";5;;;5/5/2017 0:00:00;1;;;;;5;50;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"casa,trabajo";136,89
"0027";6;;;5/5/2017 0:00:00;1;;;;;5;50;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"casa,trabajo";136,89
"0028";1;;;4/5/2017 0:00:00;1;;;;;7;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"HOSPITAL,HOGAR";16,76
"0029";1;;;4/5/2017 0:00:00;1;;;;;7;30;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"hogar,clinica pinares,hogar";158,07
"0029";2;;;4/5/2017 0:00:00;1;;;;;6;50;"A.M.";1;0;0;0;0;0;0;0;0;2;2;10;"hogar, escuela,escuela,hogar";158,07
"0029";5;;;4/5/2017 0:00:00;1;;;;;4;45;"P.M.";1;0;0;0;0;0;0;0;0;2;2;2;"hogar,trabajo,trabajo,hogar";158,07
